index,metadata,proba canon,proba non-canon,prediction,accord
1869_Erckmann-Chatrian_Histoire-d-un-paysan_I,non_canon,0.1712363616382515,0.8287636383617483,non_canon,True
1965_San-Antonio_La-rate-au-court-bouillon,non_canon,0.04799105900641194,0.9520089409935879,non_canon,True
1998_Dugain-Marc_La-chambre-des-officiers,canon,0.32436383094975807,0.6756361690502418,non_canon,False
1837_Sand-George_Mauprat,non_canon,0.43383834126053955,0.5661616587394604,non_canon,True
1845_Balzac-Honore-de_La-Recherche-de-l-Absolu,non_canon,0.8773648645585963,0.12263513544140368,canon,False
1876_Gayet-de-Cesena-Amedee_Les-Belles-pecheresses,non_canon,0.8028515446676772,0.19714845533232292,canon,False
1845_Dumas-Alexandre_Les-freres-Corses,non_canon,0.38602759163495914,0.6139724083650409,non_canon,True
1994_Rolin-Olivier_Port-Soudan,canon,0.5684811707499245,0.4315188292500755,canon,True
1968_San-Antonio_Un-elephant-ça-trompe,non_canon,0.06732791731947026,0.9326720826805297,non_canon,True
1924_Leroux-Gaston_La-poupee-sanglante,non_canon,0.2919937829130495,0.7080062170869503,non_canon,True
1926_Colette_La-Fin-de-Cheri,canon,0.3974370716396988,0.6025629283603012,non_canon,False
1882_Macaire-Robert-_Memoires-de-Robert-Macaire,non_canon,0.02714510639573727,0.9728548936042627,non_canon,True
1942_Camus-Albert_L-etranger,canon,0.6952865146619165,0.30471348533808373,canon,True
1922_Colette_La-maison-de-Claudine,non_canon,0.45852449552944025,0.5414755044705598,canon,False
1878_Perret-Paul_Madame-Valence,non_canon,0.18868503868300593,0.8113149613169942,non_canon,True
1878_Sauniere-Paul_Le-Capitaine-Belle-Humeur,non_canon,0.022543091199346717,0.9774569088006534,non_canon,True
1944_Camus-Albert_Le-premier-homme,canon,0.9848631905761467,0.015136809423853448,canon,True
1970_Tournier-Michel_Le-Roi-des-Aulnes,canon,0.5425836238942447,0.45741637610575525,canon,True
1888_Verne-Jules_Deux-ans-de-vacances,non_canon,0.05761693107339427,0.9423830689266057,non_canon,True
1955_Dhotel-Andre_Le-pays-ou-l-on-n-arrive-jamais,non_canon,0.3458148872537367,0.6541851127462632,non_canon,True
1969_Siniac-Pierre_La-Nuit-des-Auverpins,non_canon,0.14105865122636124,0.8589413487736388,non_canon,True
1861_Maquet-Charles_Les-orages-de-la-vie,non_canon,0.2687484211674598,0.73125157883254,non_canon,True
1978_Delly_Le-testament-de-Mr.-d'Erquoy,non_canon,0.07381328115358467,0.9261867188464155,non_canon,True
1870_Gaboriau-Emile_La-vie-infernale_1-Pascale-et-Marguerite-2-Lia-d-Argeles,non_canon,0.11256068031742479,0.8874393196825753,non_canon,True
1905_Beaunier-Andre_Picrate-et-Simeon,non_canon,0.35515115366864086,0.6448488463313592,non_canon,True
1901_Lorrain-Jean_Monsieur-de-Phocas-Astarta--Roman,non_canon,0.6015728250090855,0.39842717499091435,canon,False
1958_Kessel-Joseph_Le-lion,canon,0.33247871238762533,0.6675212876123746,non_canon,False
1857_Feval-Paul_Les-Errants-de-la-nuit,non_canon,0.14178138322982864,0.8582186167701716,non_canon,True
1905_Rolland-Romain_Jean-Christophe_Tome-IV-La-revolte,canon,0.895467447308354,0.1045325526916459,canon,True
1882_Uchard-Mario_La-Buveuse-de-perles,non_canon,0.18542651494635448,0.8145734850536451,non_canon,True
1892_Rodenbach-Georges_Bruges-la-Morte,canon,0.3992409474706878,0.6007590525293122,non_canon,False
1930_Genestoux-Magdeleine-du_Mademoiselle-trouble-fete,non_canon,0.12063277811026392,0.879367221889736,non_canon,True
1882_Sauniere-Paul_Le-Capitaine-Marius,non_canon,0.015377641622752083,0.984622358377248,non_canon,True
1899_Verne-Jules_Le-Testament-d-un-excentrique,non_canon,0.22284834862067782,0.7771516513793223,non_canon,True
1922_Montherlant-Henry-de_Le-Songe,non_canon,0.4409845168062371,0.5590154831937629,non_canon,True
2003_Beigbeder-Frederic_Windows-on-the-World,canon,0.1538248046284454,0.8461751953715547,non_canon,False
