index,metadata,proba non-canon,proba canon,prediction,accord
1973_Vautrin-Jean_a-Bulletins-Rouges,False,0.8999757759182243,0.10002422408177587,False,True
1903_Chabrier-Rieder-Charlotte_Les-Enfants-du-Luxembourg,False,0.9935490580377458,0.006450941962254245,False,True
1879_Thuret-Mme-E._La-Guerre-au-chateau,False,0.999561774160195,0.0004382258398051094,False,True
1954_Reage-Pauline_Histoire-d-O,True,0.07452689249001827,0.9254731075099817,True,True
1928_Cami-Pierre-Henri_le-jugement-dernier,False,0.99109946131184,0.008900538688159976,False,True
1924_Delly_Le-roi-de-Kidji-le-secret-de-la-sarrasine,False,0.9944925762845591,0.0055074237154407474,False,True
1845_Dumas-Alexandre_Une-fille-du-Regent,True,0.004366144971509829,0.9956338550284903,True,True
1972_A.D.G._Cradoque-s-band,False,0.9968072790701087,0.0031927209298912543,False,True
1878_Cherbuliez-Victor_L-idee-de-Jean-Teterol,False,0.9982321911682807,0.001767808831719491,False,True
1969_San-Antonio_Ma-langue-au-Chah,False,0.9980106594959692,0.0019893405040307317,False,True
1869_Erckmann-Chatrian_Histoire-d-un-paysan_IV,False,0.9944619124521482,0.005538087547851755,False,True
1995_Vargas-Fred_Debout-les-morts,False,0.9933866107362505,0.006613389263749602,False,True
1884_Ferry-Gabriel_Le-coureur-des-bois-ou-les-chercheurs-d'or_1,False,0.960037502714182,0.039962497285818056,False,True
2013_Millet-Richard_Une-artiste-du-sexe,True,0.003939202206948667,0.9960607977930512,True,True
1862_Camp-Maxime-du_L-homme-au-bracelet-d-or,False,0.991341396950844,0.008658603049156045,False,True
1877_Chevalier-H-Emile_Le-chasseur-noir,False,0.9867714801352216,0.013228519864778344,False,True
1882_Scholl-Aurelien_Memoires-du-trottoir,False,0.9888276790738985,0.011172320926101662,False,True
1883_Loti-Pierre_L-exilee,True,0.006427669806899547,0.9935723301931005,True,True
1853_Zaccone-Pierre_Eric-le-mendiant,False,0.9915285978311771,0.008471402168823007,False,True
1892_Frechette-Louis_Originaux-et-detraques,False,0.9859242672638465,0.014075732736153378,False,True
1816_Bournon-Malarme-Charlotte-de_Lancelot-Montagu-ou-le-Resultat-des-bonnes-fortunes_Tome-1,False,0.9977864108397252,0.00221358916027475,False,True
1876_Richepin-Jean_Les-Morts-bizarres,False,0.6376659371001077,0.3623340628998924,False,True
1883_Job-A_L-homme-à-Toinon,False,0.9216805264070949,0.07831947359290509,False,True
2012_Nothomb-Amelie_Barbe-bleue,True,0.31339136404574963,0.6866086359542505,True,True
1896_Loti-Pierre_Ramuntcho,True,0.007128073422579368,0.9928719265774206,True,True
2002_Djian-Philippe_Ça-c-est-un-baiser,False,0.8380587603657438,0.16194123963425605,False,True
1968_Yourcenar-Marguerite_L-Oeuvre-Au-Noir,True,0.05104385727198588,0.9489561427280142,True,True
1979_Zevaco-Michel_Le-Pre-aux-clercs,False,0.9928790113566721,0.007120988643327765,False,True
1885_Guy-de-Maupassant_Contes-du-jour-et-de-la-nuit,True,0.07705977139358139,0.9229402286064186,True,True
2018_Mathieu-Nicolas_Leurs-enfants-apres-eux,False,0.9870591659071943,0.012940834092805687,False,True
1925_Genevoix-Maurice_Raboliot,False,0.6301694998964611,0.3698305001035388,False,True
1842_Dumas-Alexandre_Le-Capitaine-Arena_Volume-2,True,0.07324189259844487,0.9267581074015552,True,True
1838_Dumas-Alexandre_Othon-l-Archer,True,0.019474716459096153,0.980525283540904,True,True
1894_Vanderem-Fernand_La-Cendre-Roman,False,0.9459985134594692,0.054001486540530844,False,True
2012_Riboulet-Mathieu_Les-oeuvres-de-misericorde,False,0.04857296130495756,0.9514270386950424,True,False
1846_Mme-Tarbe-Des-Sablons_Isabelle,False,0.9980877542079967,0.0019122457920032938,False,True
1910_Bazin-Rene_La-barriere,False,0.937643219630165,0.06235678036983499,False,True
1837_Sabatier-de-Castres-Camille_La-Colonie-chretienne_histoire-de-plusieurs-deportes-jetes-par-un-naufrage-dans-une-ile-deserte,False,0.946094927782567,0.05390507221743291,False,True
1858_Gautier-Theophile_Le-roman-de-la-momie,True,0.0392100955570703,0.9607899044429298,True,True
1864_Gaboriau-Emile_L-argent-des-autres_I,False,0.9962298828341484,0.003770117165851542,False,True
1970_Blondin-Antoine_Monsieur-Jadis-ou-l-ecole-du-soir,False,0.40845586533953665,0.5915441346604633,True,False
1897_Verne-Jules_Le-Sphinx-des-Glaces,True,9.707941042002158e-06,0.999990292058958,True,True
1881_Fleuriot-Zenaide_Alberte,False,0.9989915259130294,0.0010084740869706625,False,True
1902_Rebell-Hugues_Les-Nuits-chaudes-du-Cap-français,False,0.986029073420398,0.013970926579601906,False,True
2010_Volodine-Andoine_Les-aigles-puent,True,0.07873520193982844,0.9212647980601716,True,True
1897_Bazin-Rene_De-toute-son-ame,False,0.9645347981714515,0.03546520182854868,False,True
2009_Djian-Philippe_Impardonnables,False,0.992774699371439,0.007225300628560785,False,True
1847_Dash-comtesse-de_Keepsake-des-jeunes-personnes,False,0.9896518591104441,0.010348140889555981,False,True
1846_Gay-Sophie_Ellenore_Volume-II,False,0.9828025377810959,0.017197462218903947,False,True
1845_Balzac-Honore-de_Modeste-Mignon,True,8.543409650720634e-06,0.9999914565903494,True,True
1984_Jonquet-Thierry_Mygale,False,0.9671253486270831,0.032874651372916994,False,True
1859_Dumas-Alexandre_Le-fils-du-forçat,True,0.9238833564101736,0.07611664358982637,False,False
