,coefs
le,-0.1379221831849334
de,0.29335587719286776
un,-0.05883451703338533
et,0.019948519489755456
il,0.22891280019208932
avoir,-0.3861282468612925
à,0.18307979608390482
lui,-0.12647283668083145
être,-0.12237617414223731
son,-0.27464393236289686
que,0.02031886116249403
l’,0.008014019799194498
ce,0.03151941827189596
je,-0.046666718519184705
en,-0.07779348769747951
d’,0.018998094520325297
qui,-0.30698982487099974
pas,0.0662618263085293
ne,0.006832954040826144
vous,0.12380946432807007
se,0.144912167407567
dans,0.12572975311818968
qu’,0.11946148428237816
tout,-0.016409330267966545
pour,-0.1746892169317437
faire,-0.046706018897926145
dire,0.11159700683159175
s’,0.0480270139907523
mon,-0.20758811551357859
au,0.046671650494763316
éter,0.06954256917715593
n’,-0.025824648710979607
sur,0.056079664204377766
plus,0.1450137450223309
-,-0.004536171241567956
mais,0.0659006334919807
on,0.016565164406051776
–,-0.11817394321600892
avec,-0.010377217348182824
me,-0.06260306565059971
par,0.13651820823338529
comme,0.11717766288588494
c’,0.07841167515350837
nous,0.021639477307417342
pouvoir,0.08376224520767762
si,0.1411784583942789
bien,-0.0910539467200289
j’,-0.1545965331149868
y,0.1675291870776667
voir,0.282373813180801
aller,-0.10109506435423984
même,-0.1769388086146835
moi,0.12916557000895026
tu,0.036035426145135586
leur,-0.08722653414644238
sans,0.10300680421036201
être,-0.03185227994447302
m’,-0.040186818453055474
vouloir,-0.01352635339150408
savoir,-0.11910941645671434
où,0.09770039714248566
venir,0.133400519523529
homme,-0.16903015347217407
autre,-0.005391339560823195
ou,0.07174482692977968
à,0.01190754884725887
petit,-0.027425050026728452
quelque,-0.09291774510034062
prendre,-0.04497840732621136
grand,0.005053188570155697
encore,-0.003670108304718263
votre,-0.17228458625415327
femme,-0.03854014077126447
rien,0.11473463814608592
quand,0.20529934139224418
là,-0.05788542626754425
main,0.07033762726937456
peu,-0.07269157040990026
jour,0.05416940118201351
celui,0.07678129349912824
dont,0.24169982803416487
bon,-0.1500854356917448
mettre,0.02557415233833012
aussi,0.01315428663732445
jeune,-0.13548771434607157
heure,0.1009760246353094
cela,-0.049128220504307527
devoir,-0.19564077945741387
falloir,-0.11564802635448475
été,-0.009865169888305533
non,0.17079172488160588
croire,0.06275586422223581
temps,-0.09251548353544542
oeil,-0.22018795760099588
puis,0.1120875665353894
chose,0.09423351337336207
donc,0.1305140561289469
sous,-0.2464384978297442
ça,0.06456577832230245
jamais,-0.05354251797803923
Monsieur,0.20931418065663218
fois,-0.0995252977325996
toujours,0.19042062637603174
passer,0.07877500586122697
notre,-0.14073500131211708
après,-0.1575564262455188
seul,0.07018833622104728
ton,0.07216774247417844
tête,0.19818855996018436
alors,0.007579394856368249
porte,0.04573922445744502
entendre,-0.11252685626988955
étaier,0.03303261599376535
fille,-0.012193017190400597
vers,0.10695969901141246
coup,-0.05738625992209217
trouver,0.06297979085193423
-t,-0.18432382874953068
point,0.13109129374305659
monsieur,0.043487668721834516
enfant,-0.07468881092768828
-ce,-0.09452267238582511
demander,0.09520695270254347
donner,0.027338530787032037
vie,0.1881375187977412
parler,0.13870341561576402
te,-0.10437397521789168
devant,0.19291996142058748
oui,-0.1136482513733931
car,0.06293411152517385
vieux,0.06249551264575313
tenir,0.1571950512333939
moment,-0.0074819068181661095
père,0.07010511811536427
trop,0.0839062381762774
attendre,0.02596547136970549
n',0.09611511763177286
chez,0.04957707362607308
entre,0.08192249480776846
moins,-0.07577993652429833
voix,0.04121551522119072
était,-0.1711665013583973
mère,0.014741868565337862
m.,-0.34376798162896555
laisser,-0.10161491582813485
monde,-0.07829400748669334
depuis,-0.20774830255209178
quel,0.12334029121763988
nouveau,0.02755171339386634
air,0.18847304115100863
regarder,0.05811949134631873
ni,-0.1290559796827972
maison,-0.08639149213947257
mort,0.15643701833644927
reprendre,0.08385864171441425
nuit,-0.016322113708349698
ainsi,0.10093040000265711
sortir,0.013730469598424201
mot,0.07640212569414137
ami,-0.12164967129507753
cœur,-0.01543145019167732
ici,-0.17690895085382555
déjà,-0.062181053955839526
avant,0.15650333021625823
lequel,0.3472915602490307
sentir,0.10167450734214348
jusqu’,0.11197184858519418
rendre,-0.05481712914540658
fort,0.13038140058727465
pauvre,-0.12799103873653608
répondit,0.07743983779307059
contre,0.07108005785517174
chambre,-0.11493604656940526
an,0.011038287146520559
—,-0.12528182651904846
long,0.012888403043747325
comprendre,0.00406756715708893
bras,-0.08936546389265075
dieu,0.043751554567087445
personne,0.10158589100722824
eût,-0.019999273188708484
perdre,0.05393505711897933
ouvrir,-0.09039722824290107
devenir,-0.1410995678083628
regard,-0.020595872389115248
nom,0.13671939899624563
pied,0.10252219561047095
assez,-0.008642544317027195
revenir,0.10855404626495205
pendant,0.2822726449204379
suivre,0.006333853596154284
enfin,-0.023878065922335608
maintenant,0.17681442409485096
tant,0.21331109289147354
bel,-0.0716756021581652
toi,-0.013654664792436086
soir,0.020466848474317702
comment,-0.16105949338447637
pourquoi,-0.1442652510410212
connaître,0.1408059474464341
quoi,-0.09164857424202245
penser,-0.12833194058117825
voilà,-0.11926078828284624
côté,0.06296021661518268
aimer,0.005429366137957418
amour,0.057233139974167055
très,0.01410170313719402
sembler,-0.14215857067309182
premier,-0.037283020993517026
mieux,-0.04669356077860823
noir,0.3161507478862775
rire,0.09752464358585487
parce,-0.12391489686259824
rue,0.08290341682500695
mal,-0.02776802288987588
chercher,-0.01885257908362309
t’,-0.021134342651774406
rester,-0.13610406311742335
sourire,0.08652856057042127
aucun,0.09955697823320131
visage,-0.16658095614650897
arriver,0.028296498547777642
terre,0.015298886567838132
doute,0.07331148114660588
partir,-0.04286150811108413
trè,0.18003780360393884
place,0.05990988898873365
peine,-0.03671742709287153
appeler,0.1989277459135799
vrai,0.0476098413372344
instant,-0.013310732114037955
roi,0.04697309080472475
blanc,0.03432253176644344
presque,0.05284026892217591
gens,0.07369582042699509
entrer,-0.15914767630906665
seulement,-0.05764110286154124
haut,-0.2045102685175669
eh,0.002678733116528622
mourir,0.1531889613872281
jeter,0.19261946704472255
porter,-0.01275250125808729
beaucoup,-0.08608535296199205
cependant,-0.2062483442361188
écrier,0.3066924080669947
matin,-0.0002524747503909741
oh,-0.01594715679321274
fils,-0.14672034108332002
bas,-0.07538478580859703
maître,0.0310896024924876
plein,0.02759510884856259
parole,-0.11676047794513411
comte,0.0785751785695693
paraître,0.01352911519397794
pari,0.03297295269018123
finir,-0.14517279904957467
raison,0.11053683793936145
asseoir,0.10494869233287349
chaque,0.10026387447008483
loin,-0.07689740644952066
beau,0.02898512118051139
fait,-0.020020555935053207
eau,-0.015492794696514722
fond,0.011648226519723425
force,-0.07494875491256375
bout,0.010881803026952025
autour,-0.07007261389963937
cheval,0.10868611257720431
reste,-0.0664895818929869
tour,-0.04972841883769154
lettre,-0.019725206211188496
lever,-0.02337236831523452
tomber,0.10245852461166874
idée,0.05209236943501988
qu',0.07672089224790378
lorsque,-0.04170020542365582
mme,0.0691971069715597
longtemps,-0.08283983561496151
or,-0.11067266673914293
souvenir,0.028218519148709716
corps,0.013863225831375482
derrière,-0.016187141757088422
affaire,-0.15939146750727132
servir,0.01980621354682279
esprit,0.03663750304788278
l',-0.09147500875273433
table,0.08182164612921544
tel,0.20820176708763757
dernier,-0.06917119909166133
continuer,-0.02558802058723339
lieu,0.060049727520646044
gros,-0.08970887703770099
milieu,0.19664378430796786
certain,0.0042302932907185824
frère,0.17948415238379994
pourtant,-0.0029207148713398653
ailleurs,0.08699924909025215
sorte,-0.105200437312984
descendre,0.06820208533529473
aime,0.04925432441206054
près,0.06540784130137242
