,coefs
le,-0.002827411435001218
de,0.0052055668820252185
un,-0.0035073705700270678
et,-0.004337860369129998
il,0.010399525611402984
avoir,-0.013054782320749051
à,0.011922452249706032
lui,-0.004136985625527025
être,0.010139171569104828
son,-0.0009387663769864802
que,4.1143658016174205e-05
l’,0.0010597132163538817
ce,0.01652051854634585
je,0.0018326648707517545
en,-0.0016409803850612262
d’,0.001443163325737174
qui,-0.025201904707886618
pas,-0.0039718941782829024
ne,0.005284712763634364
vous,0.003704701276657866
se,-0.003251816915796908
dans,0.00858751371071727
qu’,0.005952749228536279
tout,-0.006041971579463256
pour,-0.013427809004130363
faire,-0.001814441586723189
dire,0.012794566897481955
s’,-0.0038695787002956104
mon,-0.009963145062388637
au,0.006561478215092347
éter,-0.0024041658435778237
n’,0.0006855917631951437
sur,0.0090185270883975
plus,0.010066365346856185
-,-0.023264616952660883
mais,-0.0002025848182116566
on,-0.002360000747497619
–,0.0017725554262631423
avec,0.009847201992214217
me,-0.0005865502606755607
par,0.014500070091146422
comme,0.01206581467712605
c’,0.00357443964798739
nous,0.008090826502926878
pouvoir,0.0017208187789560679
si,-0.0013397096204220357
bien,0.0032138435557522256
j’,-0.003950559288822757
y,-0.0016429137376650256
voir,0.02115743103786297
aller,-0.0009938599792027089
même,-0.0004902553181097788
moi,0.005057342041658185
tu,-0.002247568736448483
leur,-0.011937122684600789
sans,-0.002337831969094983
être,0.0055079153571670255
m’,-0.013077500652310529
vouloir,-0.017463243247570908
savoir,-0.016290253360300513
où,0.0007500296174245378
venir,0.016615601834376627
homme,0.0004866236116290428
autre,-0.007202729850261095
ou,0.013655298497955059
à,-0.011261314246322904
petit,0.012346071923733623
quelque,-0.012829479894418398
prendre,-0.0016507016315318464
grand,0.009891880139949724
encore,0.01820550384919585
votre,-0.004251568285489292
femme,0.00515804517439492
rien,0.006364151423278152
quand,0.013294594393329721
là,-0.014049632771463516
main,0.004981458842222416
peu,-0.005906733424531916
jour,0.00048763112571926094
celui,-0.0020235224165304883
dont,0.007916213900779909
bon,-0.027368628793711016
mettre,0.008788225572095083
aussi,0.02544065036659529
jeune,0.0047965341039225414
heure,0.01110359049572338
cela,-0.008361598727194962
devoir,-0.03634210729862654
falloir,-0.0015969321374883444
été,-0.009246795792611232
non,0.01782671730990612
croire,0.014236683963020328
temps,-0.011823526930300756
oeil,-0.008390402333245815
puis,0.016018707056738482
chose,0.003394858390207556
donc,0.01959539321150926
sous,-0.016533087872575136
ça,0.011975032679277551
jamais,0.014226595802777731
Monsieur,0.04513812410326055
fois,-0.020202326036519943
toujours,0.026840249429133118
passer,0.00742693459400751
notre,-0.017098105404347433
après,-0.025657524253050592
seul,0.005607842719568828
ton,-0.004914121562668116
tête,0.02990779392945925
alors,0.0033200035925785402
porte,0.015925166692897622
entendre,0.003325853138221636
étaier,0.0009192604072326378
fille,0.01330045367185346
vers,0.019194011717258153
coup,0.0036259654992384545
trouver,-0.002966298686537745
-t,-0.0046094554312038705
point,0.012403740849960248
monsieur,-0.012793308255450194
enfant,0.006398240015619412
-ce,0.002838760686637906
demander,0.0038274546892585913
donner,0.00621336880809537
vie,0.004173726348051445
parler,0.026162927128725675
te,-0.0070374076438061385
devant,0.005383635188384429
oui,-0.02403140590718484
car,0.011909009496325744
vieux,-0.005626054950649809
tenir,0.045267572242322945
moment,0.007944179517268567
père,0.013773877719449906
trop,0.005086733128772879
attendre,0.026789085017741132
n',0.0017692014306597485
chez,0.015778180132398612
entre,-0.007264418679459328
moins,-0.010755214988002198
voix,0.018223547628808925
était,-0.007643231282317072
mère,-0.003474929752104361
m.,-0.039059861175703245
laisser,-0.008115330703563656
monde,-0.014330107041814399
depuis,-0.033054745220439476
quel,0.029967297524281008
nouveau,0.0035085035184397343
air,0.008322064945357697
regarder,0.015828928251147102
ni,0.0031299915684682164
maison,-0.007542301934369874
mort,0.024531837136742934
reprendre,0.006605639634737014
nuit,0.009936781970580308
ainsi,0.0033961513249538373
sortir,0.0003451018357384135
mot,-0.001940163034918302
ami,-0.017067319467953725
cœur,0.004226798831184735
ici,-0.019253129730287057
déjà,0.004692148633628578
avant,0.002045396572745626
lequel,0.031585024950871565
sentir,0.025424414680944363
jusqu’,0.007739638937198749
rendre,-0.0002527291085811929
fort,-0.010148299508902333
pauvre,-0.011992147020160125
répondit,0.026097754412159425
contre,0.022947590026914003
chambre,-0.003936468622783317
an,-0.008774066445671944
—,-0.01580179512319898
long,0.0032173887467419095
comprendre,0.015874011755095153
bras,-0.0069765434921170285
dieu,0.00843242867106702
personne,0.012974856549367458
eût,0.007853487296474866
perdre,-0.010675362705392462
ouvrir,-0.018081018667062597
devenir,-0.017104644549322968
regard,-0.005867362694517092
nom,0.01997369100933172
pied,0.019328395528298056
assez,-0.004047118839956775
revenir,0.001158529660562915
pendant,0.029286061965321058
suivre,-0.007679709416201594
enfin,-0.0018074957070736647
maintenant,0.031402844396848525
tant,0.03587557497045554
bel,-0.017111062162867972
toi,-0.0064970901059661496
soir,0.002331239199278857
comment,-0.017263813009400095
pourquoi,-0.012215520490601935
connaître,0.03283476847346613
quoi,-0.025032081916735286
penser,-0.013071924529262972
voilà,-0.027458051409151595
côté,0.0022235218621480834
aimer,-0.009834156178132825
amour,0.01049568428686526
très,0.008082402959184469
sembler,-0.027824405526412993
premier,-0.018824608064040873
mieux,0.0044438349906785295
noir,0.04720383168478761
rire,0.0009003534969797083
parce,-0.01728943427422374
rue,0.0028876888501823354
mal,0.010311497631360377
chercher,-0.005798207752766818
t’,-0.006617873050222558
rester,-0.008278908214454147
sourire,0.013273638157224243
aucun,0.01923567245970532
visage,0.0005702888846851076
arriver,-0.016243182739703124
terre,-0.014771546124277474
doute,0.01793933997274952
partir,-0.0018391457701925967
trè,0.013639760956305933
place,0.03248387459455926
