date,auteur,titre,fabula,canon
1837,george sand,mauprat,True,non_canon
1838,edouard corbiere,les trois pirates,False,non_canon
1838,alexandre dumas,le capitaine paul,True,non_canon
1838,alexandre dumas,othon l archer,True,non_canon
1838,antoinette dupin,comment tout finit,False,non_canon
1838,antoinette dupin,comment tout finit,False,non_canon
1838,theophile gautier,fortunio,True,non_canon
1838,alphonse karr,genevieve,False,non_canon
1838,paul de kock,madeleine,False,non_canon
1838,francis wey,les enfants du marquis de ganges ou les expiations,False,non_canon
1839,petrus borel,madame putiphar,False,non_canon
1839,alexandre dumas,acte,True,non_canon
1839,alexandre dumas,aventures de lyderic,True,non_canon
1839,alexandre dumas,blanche de beaulieu et autres histoires,True,non_canon
1839,alphonse karr,clotilde,False,non_canon
1839,stendhal,la chartreuse de parme,True,canon
1839,stendhal,le coffre et le revenant,True,non_canon
1840,alexandre dumas,le capitaine pamphile,True,non_canon
1840,alexandre dumas,le maitre d armes,True,non_canon
1840,alexandre dumas,les aventures de john davys,True,non_canon
1840,xavier eyma,le medaillon,False,non_canon
1840,de cassagnac adolphe granier,danae,False,non_canon
1840,prosper merimee,colomba,True,non_canon
1840,adolphe poignant,caen en 1786 chronique normande,False,non_canon
1840,jacques replat,le sanglier de la foret de lonnes esquisse du comte de savoie a la fin du xive siecle,False,non_canon
1840,george sand,pauline,True,canon
1841,d aurevilly jules barbey,l amour impossible,True,non_canon
1841,george sand,le compagnon du tour de france,True,non_canon
1841,george sand,le compagnon du tour de france,True,non_canon
1841,george sand,un hiver a majorque,True,non_canon
1842,honore de balzac,albert savarus,True,non_canon
1842,honore de balzac,beatrix,True,canon
1842,honore de balzac,etude de femme,True,non_canon
1842,honore de balzac,la bourse,True,non_canon
1842,honore de balzac,la fausse maitresse,True,non_canon
1842,honore de balzac,la femme de trente ans,True,canon
1842,honore de balzac,la maison du chat qui pelote,True,non_canon
1842,honore de balzac,la paix du menage,True,non_canon
1842,honore de balzac,la vendetta,True,non_canon
1842,honore de balzac,le bal de sceaux,True,non_canon
1842,honore de balzac,le contrat de mariage,True,canon
1842,honore de balzac,madame firmiani,True,non_canon
1842,honore de balzac,memoires de deux jeunes mariees,True,non_canon
1842,honore de balzac,une double famille,True,non_canon
1842,alexandre dumas,le capitaine arena,True,non_canon
1842,alexandre dumas,le capitaine arena,True,non_canon
1842,alexandre dumas,le chevalier d harmental,True,non_canon
1842,j m. grosset,cecilia ou le bigame episode d un voyage en italie,False,non_canon
1842,victor hugo,le rhin,True,non_canon
1842,victor hugo,le rhin,True,non_canon
1842,victor hugo,le rhin,True,non_canon
1842,alphonse karr,comtes,False,non_canon
1842,eugene sue,les mystere de paris,True,non_canon
1842,eugene sue,oeuvres,True,non_canon
1843,honore de balzac,eugenie grandet,True,canon
1843,honore de balzac,histoire des treize et la duchesse de langeais,True,non_canon
1843,honore de balzac,histoire des treize et la fille aux yeux d’or,True,non_canon
1843,honore de balzac,histoire des treize,True,non_canon
1843,honore de balzac,illusions perdues,True,canon
1843,honore de balzac,l illustre gaudissart,True,non_canon
1843,honore de balzac,la muse du departement,True,non_canon
1843,honore de balzac,la rabouilleuse,True,non_canon
1843,honore de balzac,le cure de tours,True,canon
1843,honore de balzac,le pere goriot,True,canon
1843,honore de balzac,pierrette,True,canon
1843,honore de balzac,ursule mirouet,True,non_canon
1843,louis desnoyers,les aventures de jean paul choppart,False,non_canon
1843,joseph doutre,les fiances de 1812,False,non_canon
1843,alexandre dumas,amaury,True,non_canon
1843,alexandre dumas,ascanio,True,non_canon
1843,alexandre dumas,gabriel lambert,True,non_canon
1843,alexandre dumas,georges,True,non_canon
1843,alexandre dumas,le corricolo,True,canon
1843,paul feval,le loup blanc,False,non_canon
1843,paul feval,les fanfarons du roi,False,non_canon
1843,paul feval,les mysteres de londres,False,non_canon
1843,paul feval,les mysteres de londres,False,non_canon
1843,paul feval,les mysteres de londres,False,non_canon
1843,roux alfred le,edouard aubert,False,non_canon
1843,lebrun pigault,mon oncle thomas,False,non_canon
1843,george sand,consuelo,True,non_canon
1843,george sand,la comtesse de rudolstadt,True,non_canon
1843,eugene sue,les mysteres de paris,True,non_canon
1843,eugene sue,les mysteres de paris,True,non_canon
1843,eugene sue,les mysteres de paris,True,non_canon
1843,eugene sue,les mysteres de paris,True,non_canon
1843,claude tillier,mon oncle benjamin,False,non_canon
1843,catherine woillez,leontine et marie ou les deux educations,False,non_canon
