bac,brevet,lm,sup,prix,gf,pleiade,gouv
la-bas,l’été grec,alexis de tocqueville,pensées,campagne,à rebours,montesquieu,voyages de gulliver dans des contrées lointaines
le voyage d'automne,la boîte à bisous,jules michelet,le barbier de séville,l adoration,les bijoux indiscrets,jules valles,le père goriot
pour un oui ou pour un non (extrait),naissance d’un pont,fustel de coulanges,la fortune des rougon,creezy,beatrix,jacques prevert,à la recherche du temps perdu
l'avare qui a perdu son tresor ,le fils du pauvre,ernest renan,du mouvement et de l’immobilité de douve,le mas theotime,une fille d eve,brantôme,contes fantastiques
lambeaux,nous sommes éternels,hippolyte taine,le roman d’eneas,quelqu un,notre coeur,giacomo casanova,le château des carpathes
preface a la voiture embourbee,le roman d’un enfant,leconte de lisle,de la servitude volontaire ou contr’un,le monde tel qu il est,la religieuse,william faulkner,cinquante fables choisies de la fontaine
on ne badine pas avec l'amour,le champ de personne,theodore de banville,cinna,tout est passe si vite,monsieur de phocas,james joyce,de l'origine des espèces par sélection naturelle
"""l'echelonnement des haies"" (sagesseiii",la dernière neige,jose maria de heredia,la vie de marianne,une vie franeaise,le moine,oscar wilde,faust
le temps des cerises ,"amkoullel, l'enfant peul",sully prudhomme,le spleen de paris,le peuple de la mer,pierrette,jean jacques rousseau,en rade
la peau de l ours,l'unique rebelle,françois coppee,mémoires d’hadrien,l oeuvre au noir,les carnets de malte laurids brigge,benjamin constant,l'île au trésor
discours prononce aux obseques de guy de maupassant (7 juillet 1893).,printemps et autres saisons,charles baudelaire,couronnement de louis,de la part de la princesse morte,germinie lacerteux,jean anouilh,mes prisons
le chiffon,ils disent que je suis une beurette,gustave flaubert,didon se sacrifiant,force ennemie,ma vie   amelie et germaine   cecile,nicolas machiavel,le tour du monde en quatre-vingts jours
le conte du graal ou le roman de perceval,l’enfant rieur,edmond de goncourt,le page disgracié,la petite chartreuse,la renaissance,fiodor dostoievski,les amours jaunes
le conscrit des cent villages,celui qui dit les choses sans rien dire,jules de goncourt,lettres persanes,faux passeports,entretiens sur la pluralite des mondes,franz kafka,ondine
les voyageurs de l'imperiale,marius,emile zola,le rouge et le noir,le tiers des etoiles,au bonheur des dames,virgile,le purgatoire de dante
vie d'henry brulard,le premier homme,guy de maupassant,capitale de la douleur,le verger du diable,le bachelier,joseph conrad,contes de la bécasse
le roi s'amuse,la grammaire est une chanson douce,alphonse daudet,le roman de la rose,j etais medecin avec les chars,le neveu de rameau,julien green,méditations poétiques
a la recherche du temps perdu,le notaire du havre,paul verlaine,délie,la folle de lituanie,contes libertins,simone de beauvoir,la mare au diable
la prisonniere,le chineur de merveilles,arthur rimbaud,lettres de l’année 1671,farrago,l île au tresorles cavaliers   l assemblee des femmes,junichirô tanizaki,les 73 journées de la commune (du 18 mars au 29 mai 1971)
en attendant godot,une scène jouée dans la mémoire,stephane mallarme,les confessions,le mendiant de jerusalem,vingt ans apres,jules barbey d aurevilly,contes du lundi
la fable de pygmalion,le livre dont vous êtes la victime,jules laforgue,on ne badine pas avec l’amour / il ne faut jurer de rien / il faut qu’une porte soit ouverte ou fermée,la grande drive des esprits,la recompense d une mere,martin luther,claude gueux
les liaisons dangereuses,une enfance créole i,albert samain,les faux-monnayeurs,les flamboyants,ferragus   la fille aux yeux d or,cao xueqin,oliver twist
la promesse de l aube,le soleil des scorta,jean moreas,le roman de tristan,cabinet portrait,la maison aux sept pignons,bossuet,les epaves
terre a bonheur,nouveaux contes à ninon,eugene fromentin,quart livre,la verite sur leaffaire harry quebert,vies des douze cesars,georges simenon,dix contes d'edgar poe
avant-propos de l'histoire de ma fuite des plombs,les terres du bout du monde,joris karl huysmans,fables,la chambre des dames,les suspendues,polybe,germinie lacerteux
cecile ou l ecole des peres,histoires,alexandre dumas fils,mémoires,quand la mer se retire,la reprise,jules michelet,la sorcière
la religieuse,la petite chartreuse,henry becque,contes du jour et de la nuit,vie et mort de jean chalosse,balzac journaliste,françois villon,la peau de chagrin (édition de 1831)
regrets sur ma vieille robe de chambre,l'enfant multiple,maurice maeterlinck,derniers remords avant l'oubli / juste la fin du monde,batouala,hurlevent des monts,mario vargas llosa,cinq semaines en ballon
ollivier,petite brocante intime,anatole france,poésies,un cauchemar,la ballade des coquins,andre breton,le château des désertes ; isidora
georges dandin,le roman inachevé,pierre loti,essais,un pas vers la mer,observations faites dans les pyrenees pour servir de suite à des observations sur les alpes,stevenson,chroniques italiennes
la fabrication de l information,claude gueux,emile verhaeren,thébaïde,le solitaire,voyage au centre de la terre,henry de montherlant,théâtre classique : contenant le cid
