bac,brevet,lm,sup,prix,gf,pleiade,gouv
la lyre,,,les aventures de télémaque,pour moi seule,robinson crusoe,hans christian andersen,
le bonheur du jour,,,ailleurs,cecile de la folie,le tolle,voltaire,
correspondance,,,essais,le cap de la gitane,la ligne d ombre,paul louis courier,
"""le pain""",,,fables,les feux du pouvoir,conjuration de catilina   guerre de jugurtha   histoires,guy de maupassant,
le bourgeois gentilhomme,,,le mariage de figaro,trois femmes puissantes,claire lenoir,fernando pessoa,
oeuvres completes,,,le spleen de paris,la prison maritime,sapho,,
orphee et eurydice,,,la route des flandres,dara,mrs dalloway,,
dom juan ou le festin de pierre,,,pensées,la femme sans passe,le portrait de dorian gray,,
dormante,,,le neveu de rameau,la machine humaine,histoires naturelles,,
arthur rimbaud,,,la conquête de plassans,les poneys sauvages,voyage avec un âne dans les cevennes,,
pluie de cendres,,,les regrets,le testament d un poete juif assassine,la princesse de cleves,,
la legende des siecles,,,la princesse de clèves,univers  univers,mont oriol,,
le chef-d'oeuvre inconnu,,,discours sur l’origine et les fondements de l’inégalité parmi les hommes,la confession mexicaine,la main gauche,,
un balcon en foret,,,l’éducation sentimentale,le grand vizir de la nuit,rome sous le regard des historiens latins,,
les aventures de telemaque,,,les mains sales,la bataille de toulouse,la venus d ille et autres nouvelles,,
la chanson des canuts,,,la vie de marianne,les feux de la colere,andromaque,,
ournalrebours,,,les contemplations,les sept noms du peintre,adolphe,,
le pere prudent et equitable,,,tropismes,l oeil du silence,itineraire de paris à jerusalem,,
les fenetres,,,gargantua,l irresolu,de l universalite de la langue française,,
lettre a mademoiselle leroyer de chantepie,,,"ruines et paysages, salons de 1767",perdre la demeure,memoires,,
nuit rhenane,,,les chimères / la bohème galante / petits châteaux de bohême,l ombre portee,comment on paie ses dettes quand on a du genie,,
amours de cassandre,,,nedjma,la vie mode d emploi,le malade imaginaire,,
la machine infernale,,,les caractères,elise ou la vraie vie,l egoïste est celui qui ne pense pas à moi,,
main d'oeuvre,,,la mort de louis xiv,la voie royale,l eneide,,
le retour au desert,,,voyage au bout de la nuit,windows on the world,quo vadis  ,,
"""les chevaux du temps""",,,la place royale,station balneaire,genie du christianisme,,
si c'est un homme,,,l’esprit des lois,un singe en hiver,œdipe roi,,
lettre de napoleon a josephine,,,la chartreuse de parme,l amant de poche,le sopha,,
sonnet i,,,quelque chose noir,l appel du sol,voyage autour de ma chambre,,
histoire de mes idees,,,les regrets,la vie devant soi,la duchesse de langeais,,
lettre a un jeune poete,,,le page disgracié,maetena,le chevalier des touches,,
a l'ombre des jeunes filles en fleurs,,,la princesse de clèves,le bateau refuge,le colonel chabert,,
w ou le souvenir d'enfance,,,le lys dans la vallée,chevaux abandonnes sur le champ de bataille,la reine margot,,
allocution radiotelevisee,,,un amour de swann,le feu,bloy journaliste,,
hiroshima commemoration,,,le roman de tristan et iseut,les eaux melees  t ii les fils d avrom ,notre dame de paris,,
en sentinelle,,,roméo et juliette,le voyagenaucratis,un amour de swann,,
lettres a condorcet,,,les liaisons dangereuses,white spirit,joseph andrews,,
au coeur de la chine,,,odyssée (traduction de philippe jaccottet),le oe les tigres sont chez eux,le siecle de louis xiv,,
la maison du chat-qui-pelote,,,un barbare en asie,dingley  l illustre ecrivain,satyricon,,
les cariatides,,,tristes tropiques,saga,une annee dans le sahel,,
palimpsestes,,,le chef-d'œuvre inconnu,saint germain ou la negociation,l idiot,,
les quatrains valaisans,,,lettres à un jeune poète,a livre ouvert,les aventures de tom sawyer,,
phedre,,,à l'ombre des jeunes filles en fleurs,le bouchot,une certaine mulâtresse,,
commemoration de la liberation de paris,,,la fortune des rougon,la deuxieme mort de ramon mercader,therese raquin,,
le ravissement de lol v. stein,,,britannicus,l univers concentrationnaire,aventures prodigieuses de tartarin de tarascon,,
le feu,,,gorgias,le faussaire,histoire de ma vie,,
la belle au bois dormant,,,l'emploi du temps,la chineuse,ake  les annees d enfance,,
suzanne et le pacifique,,,les villes tentaculaires,les egares,le cure de village,,
chene et chien,,,dans la jungle des villes,le montage,epître aux romains   epître aux galates,,
le lys dans la vallee,,,les mots,leon morin  pretre,sous les yeux de l occident,,
le vicomte de bragelonne,,,les confessions,l epervier de maheux,sous le soleil de satan,,
l'immoraliste,,,mémoires d'hadrien,les betes le temps des morts,nouvelles histoires extraordinaires,,
pygmalion,,,médée,l adieula femme sauvage,les parisiens comme ils sont,,
les amours,,,frankenstein ou le prométhée moderne,janitzia ou la derniere qui aima d amour,la genese,,
les trois mousquetaires,,,w ou le souvenir d'enfance,neige sur un amour nippon,la fille elisa,,
cyrano de bergerac (acte v,,,noces,le quatrieme mur,faust i et ii,,
la critique de l'ecole des femmes,,,les grands chemins,ouest,l agneau,,
iphigenie,,,la pensée et le mouvant,deborah et les anges dissipes,perceval ou le conte du graal,,
les raisins de la colere,,,ménon,claude,trois hommes dans un bateau,,
l'avare,,,bouvard et pécuchet,la terrasse des bernardini,preface de cromwell,,
le temps deborde,,,la vie de galilée,la vallee sans printemps,bouvard et pecuchet,,
l adolescent soufflet,,,l'iliade,la rhubarbe,la peau de chagrin,,
chatiments,,,henri v,prodige du coeur,baudelaire journaliste,,
intermezzo,,,la chartreuse de parme,malaisie,jacques le fataliste et son maître,,
jamais je ne pourrai (extrait),,,éthique à nicomaque,l ecluse,le joueur,,
amphitryon 38,,,les faux-monnayeurs,lamarge,le vieux avec les bottes,,
lettre du voyant,,,en attendant godot,le bestiaire sentimental,oroonoko,,
cris,,,la paix,le livre brise,cesar birotteau,,
les fausses confidences,,,vers la paix perpétuelle,un paysage de cendres,nouvelles de petersbourg,,
discours sur l origine et les fondements de l inegalite parmi les hommes,,,quatrevingt-treize,un amour allemand,le coffret de santal   le collier de griffes,,
l'ecole des femmes,,,gorgias,zone,le creux de la vague,,
le lion,,,gargantua,jean christophe,ballades du beau hasard,,
un roi sans divertissement,,,dom juan,alabama song,le cinquiesme livre,,
adieu,,,fables,piege,resolutions pour l epoque où je deviendrai vieux et autres opuscules humoristiques,,
les yeux bleus de la montagne,,,traité des animaux,prends gardela douceur des choses,le comte de monte cristo,,
a propos d'horace,,,la métamorphose,l enfant leopard,les chouans,,
une femme,,,le chercheur d'or,a l ombre des jeunes filles en fleurs,le medecin de campagne,,
la naissance du jour,,,sur la vie heureuse et de la brièveté de la vie,l homme traque,les filles du feu   les chimeres,,
roberto zucco,,,oncle vania,le dener en ville,de la terre à la lune,,
le roi se meurt,,,don quichotte (i-xxxii),un silence d environ une demi heure,les affinites electives,,
au revoir le-haut,,,un amour de swann,la condition humaine,quatrevingt treize,,
dictionnaire philosophique,,,"de la recherche de la vérité - livre ii, parties ii et iii",la lumiere du nord,vie et opinions de tristram shandy,,
zone,,,mémoires d'outre-tombe (livre ix à xii),l affreux,eugenie grandet,,
choses vues,,,le 18 brumaire de louis bonaparte,le promontoire,salammbô,,
sonnet attribue au duc de nevers,,,horace,voyagel etranger,les miserables,,
deja !,,,"confessions, livre x",rue des boutiques obscures,poil de carotte,,
medee,,,lorenzaccio,syngue sabour  pierre de patience,monnaie de singe,,
essais,,,l'âge d'homme,mourir d enfance,le capitaine fracasse,,
le guetteur melancolique,,,l'argent,cine roman,germinal,,
"""la ville""",,,l'avare,les jeux sauvages,la petite sirene,,
retour au calme,,,"philosophie de l'argent (partie analytique, 3e chapitre, sections 1 et 2)",ginevre,lettres de mon moulin,,
l'araignee et l'ortie,,,profession de foi du vicaire savoyard (livre quatrième de émile ou de l'éducation),la verite sur l affaire harry quebert,là bas,,
la condition humaine,,,macbeth (traduction de pierre jean jouve),les carnets du bon dieu,lettre d une inconnue,,
sand,,,les âmes fortes,les elans du ceur,lettres à madame la marquise     sur le sujet de la princesse de cleves,,
la coccinelle,,,"les choéphores, les euménides",le pere,vies imaginaires,,
du cote de chez swann,,,pensées et trois discours sur la condition des grands,sonate au clair de lune,histoire de gil blas de santillane,,
a ernest chevalier,,,les raisins de la colère (traduction de marcel duhamel et maurice-edgar coindreau),le pianiste,splendeurs et miseres des courtisanes,,
zadig,,,phèdre,bonheur d occasion,hecate et ses chiens,,
le veritable saint genest,,,les fausses confidences,une promesse,la femme de trente ans,,
"""la ronde sous la cloche""",,,romances sans paroles,la fascination du pire,la dame aux camelias,,
madeleine ferat,,,mrs dalloway (traduction de marie-claire pasquier),la strategie des antilopes,la metamorphose,,
histoire d un voyage fait en la terre du bresil,,,sylvie,monsieur le consul,le temps retrouve,,
monsieur de pourceaugnac,,,essai sur les données immédiates de la conscience - ch. ii « de la multiplicité des états de conscience. l'idée de durée »,les hommes couleurs,bel ami,,
fables,,,les perses (traduction de danielle sonnier),ingrid caven,la nuit de walpurgis,,
les mouches,,,le feu,le harem,âmes masquees   la noce,,
l'affaire narcisse,,,de la guerre (traduction de nicolas waquet) - livre 1 « sur la nature de la guerre »,la joueuse de go,le misanthrope,,
allocution,,,la cousine bette,l enfer et cie,madame bovary,,
priere pour aller au paradis avec les anes,,,andromaque,naissance d une passion,cent manieres d être ridicule,,
la sieste,,,dissertation sur les passions (traduction de jean-pierre cléro),birmane,la tentation de saint antoine,,
sur la banqueroute,,,discours de la servitude volontaire,le silence et la joie,gatsby,,
une tenebreuse affaire,,,lettres persanes,amour noir,la veillee du matin,,
le premier homme (1994,,,une maison de poupée (traduction d'éloi recoing),le guetteur immobile,les paysans,,
la bete humaine,,,"l'aventure, l'ennui, le sérieux",quand le temps travaillait pour nous,lettres des jeux olympiques,,
les caprices de marianne,,,odyssée (traduction de philippe jaccottet),le dit de tianyi,le docteur pascal,,
le bal du comte deorgel,,,au cœur des ténèbres,la decharge,moby dick,,
les chaises,,,le banquet,les filles du calvaire,tarass boulba,,
la guerre des boutons,,,le songe d'une nuit d'été,une ville immortelle,l île des esclaves,,
epetre au roy,,,la chartreuse de parme,belle mere,chronique du regne de charles ix,,
ismene (traduction de dominique grandmont),,,,la carte et le territoire,voyages,,
le rouge et le noir,,,,anchise,madame chrysantheme,,
un fil a la patte,,,,drele de jeu,les habits neufs de l empereur,,
hommage a la vie e,,,,les vieillards de brighton,histoires fantastiques pragoises,,
pauline,,,,terre des hommes,gautier journaliste,,
la cantatrice chauve,,,,prix non decerne,l eternel mari,,
terre des hommes,,,,le manuscrit de port ebene,remi des rauches,,
la dame de carreau,,,,anne marie,claude gueux,,
emportez-moi,,,,l opoponax,don quichotte,,
propos sur le bonheur,,,,monsieur de lourdines,mardi,,
histoire du precedent ecrit,,,,e l autre bout de moi,la tour de nesle,,
notre-dame de paris,,,,sisters,la dame de monsoreau,,
horace,,,,une histoire franeaise,le diable amoureux,,
l'homme qui rit,,,,le nain jaune,le livre de la jungle,,
britannicus,,,,le pari,lettres edifiantes et curieuses de chine,,
mon reve familier,,,,trois jours chez ma mere,la ciociara,,
uranus,,,,le crabe tambour,vies paralleles,,
discours a la jeunesse,,,,la vallee heureuse,les elegies de duino   sonnets à orphee,,
orphee innombrable,,,,les pianos mecaniques,ecrits satiriquesmateo falcone et autres nouvelles,,
les faux-monnayeurs,,,,les hauteurs de la ville,benito cereno   la veranda   le marchand de paratonnerres,,
"""l'automne""",,,,le rire de caen,supplement au voyage de bougainville et autres textes,,
art poetique,,,,magnus,le rose et le vert   mina de vanghel,,
cantate du narcisse,,,,le naef locataire,vie de rance,,
il ne faut jurer de rien,,,,un long dimanche de fianeailles,les contemplations  livres iv v,,
les poetes,,,,le vitriol de lune et le martyre de l obese,vingt quatre heures de la vie d une femme,,
"""trains en ete""",,,,histoire,bubu de montparnasse,,
les trophees,,,,l enfant de boheme,charles demailly,,
les quatre vents de l'esprit,,,,le serviteur,le roman bourgeois,,
noces,,,,la maladie de sachs,delphine,,
la joie de vivre,,,,la porte du fond,contes à ninon,,
discours prononce aux funerailles de m. honore de balzac (29 aoet 1850).,,,,que font les rennes apres noel  ,don quichotte de la manche 3,,
robinson crusoe,,,,l ete finit sous les tilleuls,la terre,,
le dindon,,,,marilyn  dernieres seances,la bête humaine,,
physiologie de la toilette,,,,le depaysement  voyages en france,lettres,,
le petit port bleu,,,,valet de nuit,sararasine,,
le premier homme,,,,la maternelle,therese philosophe,,
les troyennes,,,,la maison des atlantes,le contrat de mariage,,
printemps 1990 ,,,,les cotonniers de bassalane,pierre et jean,,
"""le paysage dans le cadre des portieres""",,,,celeste,lorenzaccio   on ne badine pas avec l amour,,
harlem,,,,blanc,annette et le criminel,,
la comedie du langage,,,,un bien fou,racine et shakespeare,,
la longue marche. le vent des steppes,,,,gaspard,la fiancee et autres nouvelles,,
la cigarette (le sanglot de la terre,,,,couvre feux,histoires extraordinaires,,
l'instinct de ciel,,,,l amour les yeux fermes,mar morto,,
la princesse de cleves,,,,toutes les chances plus une,le ble en herbe,,
la ville noire,,,,le trajet,histoire amoureuse des gaules,,
histoire de ma vie(incipit),,,,la langue maternelle,l homme qui rit,,
photo de groupe au bord du fleuve,,,,le jardin des dieux,scenes de la vie de boheme,,
la nouvelle heloise,,,,la derniere innocence,l argent,,
le paysan perverti,,,,les eblouissements,princesse brambilla,,
andromaque,,,,week endzuydcoote,les soirees de medan,,
discours a l'assemblee,,,,passage de l homme,les jeunes france et autres recits humoristiques,,
academie medrano,,,,voyage au bout de la nuit,au coeur des tenebres,,
voyage au bout de la nuit,,,,belle du seigneur,blasons anatomiques du corps feminin et contreblasons,,
belle du seigneur,,,,nous sommes eternels,les amours de psyche et de cupidon,,
melusine ,,,,la demence du boxeur,les caracteres,,
le barbier de seville,,,,le sermon sur la chute de rome,un debut dans la vie,,
l'amant,,,,les croix de bois,pensees paresseuses d un paresseux,,
le sermon sur la chute de rome,,,,vol de nuit,pantagruel,,
george dandin,,,,claire,la pensee console de tout,,
"""le cageot""",,,,la bataille,orgueil et prejuges,,
le malade imaginaire,,,,les chasses de novembre,al andalus,,
l'ennemi,,,,les comptoirs du sud,à l ombre des jeunes filles en fleurs,,
traite sur la tolerance,,,,le cheval d herbeleau,les travailleurs de la mer,,
le prud'homme qui sauva son compere,,,,joue nous espana,zola journaliste,,
le reve,,,,le retour,maître et serviteur  nouvelles et recits  1886 1904 ,,
les caves du vatican,,,,les cerfs volants de kaboul,la disparition de majorana   les poignardeurs,,
la bataille,,,,la pierre angulaire,nefertiti et le rêve d akhenaton,,
l empreinte a crusoe,,,,ensemble de son euvre,le voyage en orient,,
le mur,,,,affaires etrangeres,le portrait de mr  w h    la plume le crayon et le poisson,,
sur la mort de marie,,,,un secret sans importance,l ensorcelee,,
la fortune des rougon,,,,les oeuvres de misericorde,manon lescaut,,
tous les matins du monde,,,,porporino ou les mysteres de naples,le conformiste,,
reveries du promeneur solitaire,,,,le boulevard peripherique,dialogues,,
amen,,,,voyage aux horizons,le fils du ciel,,
vendredi ou la vie sauvage,,,,la dentelliere,son excellence eugene rougon,,
la duchesse de langeais,,,,l infortune,les philippiques   sur la couronne   contre ctesiphon,,
le buffet,,,,quoi de neuf sur la guerre  ,dhammapada,,
le colonel chabert,,,,au pied du mur,,,
le neud de viperes,,,,la lezarde,,,
un amour de swann,,,,mille six cents ventres,,,
lettre a jeanne de tourbey,,,,aden,,,
l'atelier volant,,,,un taxi mauve,,,
poemes a lou,,,,l enfer,,,
le siecle de louis xiv,,,,clem,,,
le poete et la foule e,,,,quatre soldats,,,
le huitieme jour de la semaine,,,,les chiens enrages,,,
 confessions,,,,la neige brele,,,
la vie de marianne,,,,jeanne d arc,,,
l'orange ,,,,famille boussardel,,,
les compagnons d ulysse,,,,reine d arbieux,,,
comme le marinier,,,,l ele heureuse,,,
l'assommoir,,,,l enfant de la victoire,,,
histoire de ma vie,,,,dans la main de l ange,,,
isabelle,,,,la gloire de l empire,,,
"""un hemisphere dans une chevelure""",,,,les loups,,,
regain,,,,rhapsodie cubaine,,,
la debacle,,,,les onze,,,
jack,,,,isabelle ou l arriere saison,,,
l'inconnue,,,,la maison des bories,,,
les ritals,,,,l egal de dieu,,,
fantomas : l'agent secret,,,,je vivrai l amour des autres,,,
lettre de franeois truffaut a jean-louis bory.,,,,les bagages de sable,,,
la jeune parque et poemes en prose,,,,la briere,,,
lettre a juliette drouet,,,,la couleur des sentiments,,,
le sang noir,,,,les figurants de la mort,,,
caligula,,,,la haute saison,,,
"""reverie""",,,,marie claire,,,
corinne ou l'italie,,,,le joueur de triangle,,,
essais ,,,,le bal du dodo,,,
memoires d'hadrien,,,,les liens de chaene,,,
mangeclous,,,,l enfant hallucine,,,
j'ai tant reve de toi,,,,les derniers jours de charles baudelaire,,,
ubu roi,,,,hadriana dans tous mes reves,,,
bouvard et pecuchet,,,,la classe de neige,,,
le jeu de paume,,,,le ravenala ou l arbre du voyageur,,,
souvenirs pieux,,,,abbes,,,
les amours d'hippolyte,,,,les causes perdues,,,
memoires d'outre-tombe,,,,un homme se penche sur son passe,,,
des jugements ,,,,les aristocrates,,,
les rayons et les ombres,,,,port soudan,,,
du souverain,,,,les captifs,,,
le vingtieme siecle,,,,au bon beurre,,,
je t'attendais,,,,dictionnaire egoeste de la litterature franeaise,,,
ruy blas,,,,les ombres errantes,,,
paradoxe sur le comedien,,,,fontagre,,,
hymne de l automne,,,,cercle,,,
les jumeaux,,,,l etourdissement,,,
l'etranger,,,,poussiere du temps,,,
le commissaire dans la truffiere,,,,le rapport de brodeck,,,
livret de famille,,,,le diable en tete,,,
lettre a madame de grignan,,,,les adieux,,,
le lombric,,,,le supplice de phedre,,,
bon conseil aux amants,,,,oe on va papa  ,,,
les chouans,,,,le troisieme mensonge,,,
eloigne de vos yeux,,,,les provinciaux,,,
la fugue du petit poucet(le coq de bruyere,,,,les amants du paradis,,,
fruits,,,,les fruits de l hiver,,,
lettre a victor hugo,,,,monsieur bille dans la tourmente,,,
le comte de monte-cristo,,,,personne,,,
kean,,,,confidence pour confidence,,,
on ne badine pas avec l amour,,,,feuilles mortes,,,
lettre a julie recamier,,,,rosie carpe,,,
lettresson frere theo,,,,la vie secrete,,,
sido,,,,le petit matin,,,
eugenie grandet,,,,le chemin de la lanterne,,,
le second livre des odes,,,,asiles de fous,,,
"""soleils couchants""",,,,les honneurs perdus,,,
les ames grises,,,,le probleme avec jane,,,
les honneurs perdus,,,,les grandes familles,,,
les miserables,,,,le proces verbal,,,
mardrigal,,,,les corps celestes,,,
germinal,,,,des demeures et des gens,,,
helene ou le regne vegetal,,,,cherokee,,,
quincaillerie,,,,week end de chassela mere,,,
bel-ami,,,,paysage de fantaisie,,,
oeuvres poetiques,,,,un amour de pere,,,
le negrier,,,,pelagie la charette,,,
micromegas,,,,l abbaye d evolayne,,,
quand deux dictateurs se rencontrent,,,,le goet du peche,,,
le chat et les lapins,,,,ecrit sur l eau,,,
""" france",,,,aricie brun ou les vertus bourgeoises,,,
des grives aux loups,,,,le centaure de dieu,,,
du souverain ou de la republique,,,,le testament franeais,,,
le parti pris des choses,,,,court serpent,,,
poemes antiques et modernes,,,,la guepe,,,
l'immortalite,,,,juliette pomerleau,,,
la folle de chaillot,,,,orlanda,,,
rimbaud le fils,,,,un aller simple,,,
bel ami,,,,je m en vais,,,
le temps retrouve,,,,ce que je sais de vera candida,,,
occupe-toi d'amelie,,,,l experience,,,
madame bovary,,,,oublier palerme,,,
le misanthrope,,,,sang et lumiere,,,
les metamorphoses,,,,la revolution,,,
la prose du transsiberien et de la petite jeanne de france,,,,gaspard des montagnes,,,
le lion s'en allant a la guerre,,,,tous les soleils,,,
alcools,,,,fort saganne,,,
mademoiselle chambon,,,,les funerailles de la sardine,,,
cyrano de bergerac,,,,l alchimiste,,,
derniers vers,,,,l ogre,,,
le piano que baise une main frole...,,,,la rose de la mer,,,
la repetition ou l'amour puni,,,,bandepart,,,
petite poucette,,,,l irrevolution,,,
"""paysage""",,,,la derive des sentiments,,,
priere pour aller au paradis avec jammes,,,,la reforme de l opera de pekin,,,
les feuilles d'automne,,,,parle leur de batailles  de rois et deelephants,,,
a la lisiere du temps,,,,le livre des betes qu on appelle sauvages,,,
"""soleil couchant""",,,,voyage au bout de la france,,,
28 juin 2014,,,,les enfants getes,,,
un barrage contre le pacifique,,,,leonie la bienheureuse,,,
"""le mur""",,,,apprendrefinir,,,
le plus bel amour de don juan,,,,mes nuits sont plus belles que vos jours,,,
le moulin de pologne,,,,maria vandamme,,,
poesies completes,,,,rien ne s opposela nuit,,,
les mots qui ne sont pas d'amour,,,,le dieu nu,,,
zadig ou la destinee,,,,le chemin du soleil,,,
mon ami je vous aime...,,,,des vols de vanessa,,,
la bicyclette,,,,la fuite en douce,,,
l'ecriture ou la vie,,,,terre des oublis,,,
les mots pour le dire,,,,les animals,,,
la leçon,,,,anny,,,
angelo,,,,le desert de l amour,,,
les boulevards de ceinture,,,,le premier principe  le second principe,,,
tristes tropiques,,,,john l enfer,,,
le tigre bleu de leeuphrate,,,,la separation,,,
formeries,,,,caroline ou le depart pour les eles,,,
lettre a louise colet,,,,l etat sauvage,,,
le manuscrit de port-ebene,,,,les boulevards de ceinture,,,
paris,,,,mon villagel heure allemande,,,
quatrevingt-treize,,,,l empire celeste,,,
molloy,,,,danse pour ton ombre  ,,,
l enterrement e,,,,arrive un vagabond,,,
la promesse de l'aube,,,,mon grand appartement,,,
toute une nuit ,,,,dedans,,,
eloge funebre d'emile zola,,,,jeunes menages,,,
ethiopiques,,,,la peche miraculeuse,,,
oedipe,,,,feerie generale,,,
la place,,,,la place,,,
encyclopedie,,,,l enigme du retour,,,
lettre a ceux qui m accusent,,,,la pitie de dieu,,,
une nuit qu'on entendait la mer sans la voir e,,,,l amour de rien,,,
ophelie,,,,un grand pas vers le bon dieu,,,
poemes antiques,,,,le loup mongol,,,
l'ete grec,,,,le zebre,,,
l homme et la mer,,,,la folie hubert,,,
toute la lyre,,,,l ile du lezard vert,,,
la maison,,,,la possibilite d une ele,,,
le grand combat,,,,les allonges,,,
le sphinx,,,,philosophie sentimentale,,,
pensees d'un biologiste,,,,la nuit zoologique,,,
la belle et la bete,,,,moi  antoine de tounens  roi de patagonie,,,
la bonne chanson,,,,l autre amour,,,
roman,,,,l homme du bresil,,,
le soulier de satin,,,,texaco,,,
guerre,,,,allah n est pas oblige,,,
le baiser au lepreux(1922).,,,,les mouchoirs rouges de cholet,,,
delphine,,,,la modification,,,
poesies,,,,la voyeuse interdite,,,
nuit sans date rue saint-jacques e,,,,la conspiration,,,
l'education sentimentale,,,,les grandes vacances,,,
las ou est maintenant...e (les regrets,,,,jereme  60e latitude nord,,,
le liseur du 6h27,,,,misayre   misayre  ,,,
la terre,,,,premiere ligne,,,
neige,,,,diabolus in musica,,,
les contemplations,,,,les russkoffs,,,
dominique,,,,la maetresse de brecht,,,
le poete et la foule,,,,pas un jour,,,
ce poignet demis de toi,,,,l orage du matin,,,
dom juan,,,,le pays oe l on n arrive jamais,,,
"""la grasse matinee""",,,,ce qu aimer veut dire,,,
les gommes,,,,l evangile selon pilate,,,
le grand paris,,,,terres lorraines,,,
le polygone etoile,,,,vent de mars,,,
confessions,,,,valmaurie,,,
desert,,,,quartiers d hiver,,,
lettre a la jeunesse,,,,un dimanche inoubliable pres des casernes,,,
fonction du poete ,,,,la creve,,,
la fete a neuilly,,,,la dame de coeur,,,
l'autre monde : les etats et empires de la lune,,,,comme ton pere,,,
pierre et jean,,,,le guetteur d ombres,,,
le jardin yamata,,,,raboliot,,,
les fantomes du chapelier,,,,le jeu de patience,,,
lily,,,,une saison dans la vie d emmanuel,,,
la vagabonde,,,,benediction,,,
memoires d'une jeune fille rangee,,,,un chat qui aboie,,,
la peste,,,,balthazar  fils de famille,,,
les fees,,,,la premiere habitude,,,
la chambre des officiers,,,,la reine du silence,,,
le voyage,,,,la nuit americaine,,,
les choses,,,,les choses,,,
les enfants du siecle,,,,le parc,,,
promenade de picasso,,,,un soir au club,,,
a la mysterieuse,,,,les adieuxla reine,,,
l'impromptu de versailles,,,,la paroi,,,
zazie dans le metro,,,,la memoire d abraham,,,
le mariage de figaro,,,,john perkins,,,
mort d'un soldat republicain pres de cerro muriano ,,,,les civilises,,,
la musique,,,,l amour negre,,,
"""le buffet""",,,,le grand dadais,,,
la guerre de troie n'aura pas lieu,,,,l empreinte de l ange,,,
les quatre verites,,,,derriere la baignoire,,,
don juan aux enfers,,,,avant guerre,,,
les reveries du promeneur solitaire,,,,la femme de l allemand,,,
memoires d'un fou,,,,rabevel ou le mal des ardents,,,
les caracteres,,,,madame arnoul,,,
l'eden cinema,,,,la princesse de mantoue,,,
contes cruels,,,,canines,,,
la nuit venitienne,,,,nene,,,
deux femmes pour un fantome,,,,rouge bresil,,,
preface des contes en vers,,,,diane lanster,,,
le hussard sur le toit,,,,plonger,,,
lettre a charles poncy,,,,nicolo peccavi,,,
pantagruel,,,,vladimir roubaeev,,,
fantomes,,,,contours du jour qui vient,,,
theophile gautier,,,,sa femme,,,
le fou d'elsa,,,,la joie,,,
les travailleurs de la mer,,,,l enfant d edouard,,,
"""la jetee""",,,,ap  j  c ,,,
notre vie,,,,pareilsdes enfants,,,
l'oeuvre,,,,retourkillybegs,,,
manon lescaut,,,,jours sans gloire,,,
le loup et le chien,,,,l odyssee d un transport torpille,,,
l'enfant,,,,notre dame du nil,,,
au bois dormant,,,,la nuit sacree,,,
dialogues,,,,petite chronique des gens de nuit dans un port de l atlantique nord,,,
qui je fus,,,,un long mois de septembre,,,
un chapeau de paille d italie,,,,les racines du ciel,,,
langage,,,,cantegril,,,
appel a l'assemblee legislative,,,,les etats du desert,,,
le futur anterieur,,,,la bete quaternaire,,,
l'homme et son image,,,,ce soir  tania   ,,,
premiers poemes,,,,sans la misericorde du christ,,,
moesta et errabunda ,,,,l exposition coloniale,,,
le corricolo,,,,immobile dans le courant du fleuve,,,
a ma femme endormie,,,,la marie marraine,,,
,,,,le passage,,,
,,,,juan maldonne,,,
,,,,la gare de wannsee,,,
,,,,la table aux creves,,,
,,,,un secret,,,
,,,,le carrefour des solitudes,,,
,,,,l imprecateur,,,
,,,,la comedie de terracina,,,
