date,auteur,titre,fabula
1840,de cassagnac adolphe granier,danae,False
1840,prosper merimee,colomba,True
1840,adolphe poignant,caen en 1786 chronique normande,False
1840,jacques replat,le sanglier de la foret de lonnes esquisse du comte de savoie a la fin du xive siecle,False
1840,george sand,pauline,True
1841,d aurevilly jules barbey,l amour impossible,True
1841,george sand,le compagnon du tour de france,True
1841,george sand,le compagnon du tour de france,True
1841,george sand,un hiver a majorque,True
1842,honore de balzac,albert savarus,True
1842,honore de balzac,beatrix,True
1842,honore de balzac,etude de femme,True
1842,honore de balzac,la bourse,True
1842,honore de balzac,la fausse maitresse,True
1842,honore de balzac,la femme de trente ans,True
1842,honore de balzac,la maison du chat qui pelote,True
1842,honore de balzac,la paix du menage,True
1842,honore de balzac,la vendetta,True
1842,honore de balzac,le bal de sceaux,True
1842,honore de balzac,le contrat de mariage,True
1842,honore de balzac,madame firmiani,True
1842,honore de balzac,memoires de deux jeunes mariees,True
1842,honore de balzac,une double famille,True
1842,alexandre dumas,le capitaine arena,True
1842,alexandre dumas,le capitaine arena,True
1842,alexandre dumas,le chevalier d harmental,True
1842,j m. grosset,cecilia ou le bigame episode d un voyage en italie,False
1842,victor hugo,le rhin,True
1842,victor hugo,le rhin,True
1842,victor hugo,le rhin,True
1842,alphonse karr,comtes,False
1842,eugene sue,les mystere de paris,True
1842,eugene sue,oeuvres,True
1843,honore de balzac,eugenie grandet,True
1843,honore de balzac,histoire des treize et la duchesse de langeais,True
1843,honore de balzac,histoire des treize et la fille aux yeux d’or,True
1843,honore de balzac,histoire des treize,True
1843,honore de balzac,illusions perdues,True
1843,honore de balzac,l illustre gaudissart,True
1843,honore de balzac,la muse du departement,True
1843,honore de balzac,la rabouilleuse,True
1843,honore de balzac,le cure de tours,True
1843,honore de balzac,le pere goriot,True
1843,honore de balzac,pierrette,True
1843,honore de balzac,ursule mirouet,True
1843,louis desnoyers,les aventures de jean paul choppart,False
1843,joseph doutre,les fiances de 1812,False
1843,alexandre dumas,amaury,True
1843,alexandre dumas,ascanio,True
1843,alexandre dumas,gabriel lambert,True
1843,alexandre dumas,georges,True
1843,alexandre dumas,le corricolo,True
1843,paul feval,le loup blanc,False
1843,paul feval,les fanfarons du roi,False
1843,paul feval,les mysteres de londres,False
1843,paul feval,les mysteres de londres,False
1843,paul feval,les mysteres de londres,False
1843,roux alfred le,edouard aubert,False
1843,lebrun pigault,mon oncle thomas,False
1843,george sand,consuelo,True
1843,george sand,la comtesse de rudolstadt,True
1843,eugene sue,les mysteres de paris,True
1843,eugene sue,les mysteres de paris,True
1843,eugene sue,les mysteres de paris,True
1843,eugene sue,les mysteres de paris,True
1843,claude tillier,mon oncle benjamin,False
1843,catherine woillez,leontine et marie ou les deux educations,False
1844,honore de balzac,histoire de la grandeur et de la decadence de cesar birotteau,True
1844,honore de balzac,l interdiction,True
1844,honore de balzac,la maison nucingen,True
1844,honore de balzac,la messe de l athee,True
1844,honore de balzac,la vieille fille,True
1844,honore de balzac,le cabinet des antiques,True
1844,honore de balzac,le colonel chabert,True
1844,honore de balzac,le lys dans la vallee,True
1844,honore de balzac,les secrets de la princesse de cadignan,True
1844,honore de balzac,pierre grassou,True
1844,honore de balzac,sarrasine,True
1844,honore de balzac,splendeurs et miseres des courtisanes,True
1844,françois rene de chateaubriand,vie de rance,True
1844,victor doublet,ezilda ou la zingara oeuvre historique et morale,False
1844,alexandre dumas,fernande,True
1844,alexandre dumas,les trois mousquetaires,True
1844,sophie gay,ellenore,False
1844,ecuyer eugene l,la fille du brigand,False
1844,ecuyer eugene l,un episode de la vie d un faux devot,False
1844,henriette etiennette fanny reybaud,rose,False
1844,george sand,andre,True
1844,des sablons michelle catherine josephine guespereau mme sebastien andre tarbe,onesie ou les soirees de l abbaye suivie de enguerrand ou le duel,False
1844,eugene tavard,les effets et les causes histoire lamentable echafaudee sur une queue de billard,False
1845,honore de balzac,adieu,True
1845,honore de balzac,el verdugo,True
1845,honore de balzac,gambara,True
1845,honore de balzac,honorine,True
1845,honore de balzac,jesus christ en flandre,True
1845,honore de balzac,l auberge rouge,True
1845,honore de balzac,l elixir de longue vie,True
1845,honore de balzac,l enfant maudit,True
