date,auteur,titre,fabula,canon,sexe
1916,henri barbusse,le feu,True,canon,m
1919,pierre benoit,l atlantide,False,canon,m
1922,louis aragon,les aventures de telemaque,True,canon,m
1922,paul fils feval,le bossu,False,canon,m
1923,alphonse de chateaubriant,la briere,False,canon,m
1923,raymond radiguet,le diable au corps,False,canon,m
1925,maurice genevoix,raboliot,False,canon,m
1925,marcel proust,albertine disparue,True,canon,m
1926,georges bernanos,sous le soleil de satan,True,canon,m
1926,colette,la fin de cheri,True,canon,f
1926,joseph kessel,les captifs,True,canon,m
1927,colette,le ble en herbe,True,canon,f
1927,andre gide,les faux monnayeurs,True,canon,m
1928,colette,la naissance du jour,True,canon,f
1929,georges bernanos,la joie,True,canon,m
1930,colette,sido,True,canon,f
1930,jean giono,regain,True,canon,m
1930,andre malraux,la voie royale,True,canon,m
1931,exupery antoine de saint,vol de nuit,True,canon,m
1932,louis ferdinand celine,voyage au bout de la nuit,True,canon,m
1933,georges duhamel,le notaire du havre,True,canon,m
1933,andre malraux,la condition humaine,True,canon,m
1934,colette,les vrilles de la vigne,True,canon,f
1934,roger vercel,capitaine conan,False,canon,m
1935,delly,contes,False,canon,mf
1936,louis aragon,les beaux quartiers,True,canon,m
1936,jean giono,les vraies richesses,True,canon,m
1938,paul nizan,la conspiration,True,canon,m
1939,michel leiris,l age d homme,True,canon,m
1939,exupery antoine de saint,terre des hommes,True,canon,m
1939,nathalie sarraute,tropismes,True,canon,f
1942,albert camus,l etranger,True,canon,m
1944,albert camus,le premier homme,True,canon,m
1947,albert camus,la peste,True,canon,m
1950,marguerite duras,un barrage contre le pacifique,True,canon,f
1951,samuel beckett,molloy,True,canon,m
1951,jean giono,le hussard sur le toit,True,canon,m
1951,julien gracq,le rivage des syrtes,True,canon,m
1953,grillet alain robbe,les gommes,True,canon,m
1954,simone de beauvoir,les mandarins,True,canon,f
1954,simone de beauvoir,les mandarins,True,canon,f
1954,albert cohen,le livre de ma mere,True,canon,m
1956,romain gary,les racines du ciel,True,canon,m
1958,joseph kessel,le lion,True,canon,m
1959,raymond queneau,zazie dans le metro,True,canon,m
1960,romain gary,la promesse de l aube,True,canon,m
1960,marcel pagnol,le temps des secrets,False,canon,m
1960,claude simon,la route des flandres,True,canon,m
1965,georges perec,les choses,True,canon,m
1967,claude simon,histoire,True,canon,m
1967,michel tournier,vendredi ou les limbes du pacifique,True,canon,m
1968,marguerite yourcenar,l oeuvre au noir,True,canon,f
1969,magali,la prisonniere,False,canon,f
1969,felicien marceau,creezy,False,canon,m
1969,francois mauriac,un adolescent d autrefois,True,canon,m
1970,michel deon,les poneys sauvages,False,canon,m
1970,michel tournier,le roi des aulnes,True,canon,m
1971,jacques laurent,les betises,False,canon,m
1971,michel tournier,vendredi ou la vie sauvage,True,canon,m
1972,louis aragon,aurelien,True,canon,m
1972,patrick modiano,les boulevards de ceinture,True,canon,m
1973,michel deon,un taxi mauve,False,canon,m
1973,eugene ionesco,le solitaire,True,canon,m
1974,pascal laine,la dentelliere,False,canon,m
1974,marguerite yourcenar,souvenirs pieux,True,canon,f
1975,emile gary romain ajar,la vie devant soi,True,canon,m
1975,marie cardinal,les mots pour le dire,False,canon,f
1977,patrick modiano,livret de famille,True,canon,m
1978,patrick modiano,rue des boutiques obscures,True,canon,m
1978,georges perec,la vie mode d emploi,True,canon,m
1980,clezio jean marie gustave le,desert,True,canon,m
1983,jean echenoz,cherokee,True,canon,m
1983,annie ernaux,la place,True,canon,f
1983,nathalie sarraute,enfance,True,canon,f
1984,marguerite duras,l amant,True,canon,f
1988,erik orsenna,l exposition coloniale,False,canon,m
1991,pierre combescot,les filles du calvaire,False,canon,m
1991,pierre michon,rimbaud le fils,True,canon,m
1991,pascal quignard,tous les matins du monde,True,canon,m
1994,albert camus,le premier homme,True,canon,m
1994,olivier rolin,port soudan,True,canon,m
1995,emmanuel carrere,la classe de neige,True,canon,m
1996,jean rolin,l organisation,True,canon,m
1998,paule constant,confidence pour confidence,False,canon,f
1998,didier daeninckx,cannibale,True,canon,m
1998,marc dugain,la chambre des officiers,False,canon,m
1999,jean echenoz,je m en vais,True,canon,m
1999,antoine volodine,des anges mineurs,True,canon,m
2001,christian gailly,un soir au club,False,canon,m
2001,laurent gaude,cris,False,canon,m
2001,grillet alain robbe,la reprise,True,canon,m
2001,jean christophe rufin,rouge bresil,False,canon,m
2002,laurent gaude,la mort du roi tsongor,False,canon,m
2003,frederic beigbeder,windows on the world,False,canon,m
2004,philippe grimbert,un secret,False,canon,m
2005,nina bouraoui,mes mauvaises pensees,False,canon,f
2005,sylvie germain,magnus,True,canon,f
2006,marie nimier,la reine du silence,False,canon,f
2007,philippe claudel,le rapport de brodeck,False,canon,m
2007,vigan delphine de,no et moi,False,canon,f
2008,henry bauchau,le boulevard peripherique,True,canon,m
2008,catherine cusset,un brillant avenir,False,canon,f
2008,mathias enard,zone,True,canon,m
2009,pierre michon,les onze,True,canon,m
2009,diaye marie n,trois femmes puissantes,True,canon,f
2009,jean philippe toussaint,la verite sur marie,True,canon,m
2009,delphine de vigan,les heures souterraines,False,canon,f
2010,michel houellebecq,la carte et le territoire,True,canon,m
2010,maylis de kerangal,naissance d un pont,True,canon,f
2012,patrick deville,peste et cholera,False,canon,m
2012,mathieu riboulet,les oeuvres de misericorde,False,canon,m
2013,marie darrieussecq,il faut beaucoup aimer les hommes,True,canon,f
2013,alice ferney,cherchez la femme,False,canon,f
2013,alice zeniter,sombre dimanche,False,canon,f
2014,maylis de kerangal,reparer les vivants,True,canon,f
