date,auteur,titre,fabula,canonicity_1,canonicity_2
1842,alphonse karr,comtes,False,0,0
1842,eugene sue,les mystere de paris,True,3,3
1842,eugene sue,oeuvres,True,3,3
1843,honore de balzac,eugenie grandet,True,5,5
1843,honore de balzac,histoire des treize et la duchesse de langeais,True,3,3
1843,honore de balzac,histoire des treize et la fille aux yeux d’or,True,3,3
1843,honore de balzac,histoire des treize,True,3,3
1843,honore de balzac,illusions perdues,True,5,8
1843,honore de balzac,l illustre gaudissart,True,3,3
1843,honore de balzac,la muse du departement,True,3,3
1843,honore de balzac,la rabouilleuse,True,3,3
1843,honore de balzac,le cure de tours,True,5,5
1843,honore de balzac,le pere goriot,True,5,5
1843,honore de balzac,pierrette,True,5,5
1843,honore de balzac,ursule mirouet,True,3,3
1843,louis desnoyers,les aventures de jean paul choppart,False,0,0
1843,joseph doutre,les fiances de 1812,False,0,0
1843,alexandre dumas,amaury,True,3,3
1843,alexandre dumas,ascanio,True,3,3
1843,alexandre dumas,gabriel lambert,True,3,3
1843,alexandre dumas,georges,True,3,3
1843,alexandre dumas,le corricolo,True,5,5
1843,paul feval,le loup blanc,False,0,0
1843,paul feval,les fanfarons du roi,False,0,0
1843,paul feval,les mysteres de londres,False,0,0
1843,paul feval,les mysteres de londres,False,0,0
1843,paul feval,les mysteres de londres,False,0,0
1843,roux alfred le,edouard aubert,False,0,0
1843,lebrun pigault,mon oncle thomas,False,0,0
1843,george sand,consuelo,True,3,3
1843,george sand,la comtesse de rudolstadt,True,3,3
1843,eugene sue,les mysteres de paris,True,3,3
1843,eugene sue,les mysteres de paris,True,3,3
1843,eugene sue,les mysteres de paris,True,3,3
1843,eugene sue,les mysteres de paris,True,3,3
1843,claude tillier,mon oncle benjamin,False,0,0
1843,catherine woillez,leontine et marie ou les deux educations,False,0,0
1844,honore de balzac,histoire de la grandeur et de la decadence de cesar birotteau,True,3,3
1844,honore de balzac,l interdiction,True,3,3
1844,honore de balzac,la maison nucingen,True,3,3
1844,honore de balzac,la messe de l athee,True,3,3
1844,honore de balzac,la vieille fille,True,3,3
1844,honore de balzac,le cabinet des antiques,True,3,3
1844,honore de balzac,le colonel chabert,True,5,5
1844,honore de balzac,le lys dans la vallee,True,5,5
1844,honore de balzac,les secrets de la princesse de cadignan,True,3,3
1844,honore de balzac,pierre grassou,True,3,3
1844,honore de balzac,sarrasine,True,3,3
1844,honore de balzac,splendeurs et miseres des courtisanes,True,5,5
1844,françois rene de chateaubriand,vie de rance,True,5,5
1844,victor doublet,ezilda ou la zingara oeuvre historique et morale,False,0,0
1844,alexandre dumas,fernande,True,3,3
1844,alexandre dumas,les trois mousquetaires,True,5,6
1844,sophie gay,ellenore,False,0,0
1844,ecuyer eugene l,la fille du brigand,False,0,0
1844,ecuyer eugene l,un episode de la vie d un faux devot,False,0,0
1844,henriette etiennette fanny reybaud,rose,False,0,0
1844,george sand,andre,True,3,3
1844,des sablons michelle catherine josephine guespereau mme sebastien andre tarbe,onesie ou les soirees de l abbaye suivie de enguerrand ou le duel,False,0,0
1844,eugene tavard,les effets et les causes histoire lamentable echafaudee sur une queue de billard,False,0,0
1845,honore de balzac,adieu,True,5,5
1845,honore de balzac,el verdugo,True,3,3
1845,honore de balzac,gambara,True,3,3
1845,honore de balzac,honorine,True,3,3
1845,honore de balzac,jesus christ en flandre,True,3,3
1845,honore de balzac,l auberge rouge,True,3,3
1845,honore de balzac,l elixir de longue vie,True,3,3
1845,honore de balzac,l enfant maudit,True,3,3
1845,honore de balzac,la recherche de l absolu,True,3,3
1845,honore de balzac,le chef d oeuvre inconnu,True,3,3
1845,honore de balzac,le requisitionnaire,True,3,3
1845,honore de balzac,les marana,True,3,3
1845,honore de balzac,maitre cornelius,True,3,3
1845,honore de balzac,massimilla doni,True,3,3
1845,honore de balzac,melmoth reconcilie,True,3,3
1845,honore de balzac,modeste mignon,True,3,3
1845,honore de balzac,sur catherine de medicis,True,3,3
1845,honore de balzac,un debut dans la vie,True,5,5
1845,honore de balzac,un drame au bord de la mer,True,3,3
1845,honore de balzac,une passion dans le desert,True,3,3
1845,alexandre dumas,histoire d un casse noisette,True,3,3
1845,alexandre dumas,la reine margot,True,5,5
1845,alexandre dumas,le batard de mauleon,True,3,3
1845,alexandre dumas,le batard de mauleon,True,3,3
1845,alexandre dumas,le batard de mauleon,True,3,3
1845,alexandre dumas,le chevalier de maison rouge,True,3,3
1845,alexandre dumas,le comte de monte cristo,True,5,5
1845,alexandre dumas,les freres corses,True,3,3
1845,alexandre dumas,une fille du regent,True,3,3
1845,alexandre dumas,vingt ans apres,True,5,5
1845,paul feval,les contes de nos peres,False,0,0
1845,gustave flaubert,la premiere education sentimentale,True,3,3
1845,alphonse karr,voyage autour de mon jardin,False,0,0
1845,prosper merimee,carmen,True,3,3
1845,george sand,le meunier d angibault,True,3,3
1845,george sand,teverino,True,3,3
1845,eugene sue,la coucaratcha,True,3,3
1845,eugene sue,la coucaratcha,True,3,3
1845,eugene sue,la coucaratcha,True,3,3
1845,eugene sue,le juif errant,True,3,3
1845,eugene sue,le juif errant,True,3,3
1845,eugene sue,mathilde memoires d une jeune femme,True,3,3
1845,eugene sue,paula monti ou l hotel lambert,True,3,3
1845,castel horace de viel,archambaud de comborn,False,0,0
1845,joseph alexis walsh,les veillees de voyage,False,0,0
1846,honore de balzac,autre etude de femme,True,3,3
1846,honore de balzac,esquisse d’un homme d’affaires d apres nature,True,3,3
1846,honore de balzac,gaudissart,True,3,3
1846,honore de balzac,gobseck,True,3,3
1846,honore de balzac,la femme abandonnee,True,3,3
1846,honore de balzac,la grenadiere,True,3,3
1846,honore de balzac,le cure de village,True,5,5
1846,honore de balzac,le medecin de campagne,True,5,5
1846,honore de balzac,le message,True,3,3
1846,honore de balzac,les chouans ou la bretagne en 1799,True,3,3
1846,honore de balzac,les employes,True,3,3
1846,honore de balzac,les proscrits,True,3,3
1846,honore de balzac,louis lambert,True,5,4
1846,honore de balzac,l’envers de l histoire contemporaine,True,3,3
1846,honore de balzac,physiologie du mariage,True,5,5
1846,honore de balzac,seraphita,True,3,3
1846,honore de balzac,un episode sous la terreur,True,3,3
1846,honore de balzac,un prince de la boheme,True,3,3
1846,honore de balzac,une fille d’eve,True,3,3
1846,honore de balzac,une tenebreuse affaire,True,5,5
1846,honore de balzac,z marcas,True,3,3
1846,alexandre dumas,joseph balsamo memoires d un medecin,True,3,3
1846,alexandre dumas,la dame de monsoreau,True,5,5
1846,jules erckmann,les disciples d escobar,False,0,0
1846,paul feval,la quittance de minuit,False,0,0
1846,paul feval,la quittance de minuit,False,0,0
1846,paul feval,le fils du diable,False,0,0
1846,paul feval,le fils du diable,False,0,0
1846,sophie gay,ellenore,False,0,0
1846,patrice lacombe,la terre paternelle,False,0,0
1846,tarbe des sablons mme,isabelle,False,2,2
1846,paul de musset,monsieur le vent et madame la pluie,False,0,0
1846,louis reybaud,jerome paturot a la recherche d une position sociale,False,0,0
1846,louis reybaud,jerome paturot a la recherche d une position sociale,False,0,0
1846,george sand,la mare au diable,True,5,4
1846,george sand,lucrezia floriani,True,3,3
1847,amedee achard,belle rose,False,0,0
1847,honore de balzac,le depute d arcis,True,3,3
1847,de plancy jacques collin,legende du juif errant,False,0,0
1847,comtesse de dash,keepsake des jeunes personnes,False,0,0
1847,alexandre dumas,les quarante cinq,True,3,3
1847,inconnu,la bonne mere,False,0,0
1847,richomme fanny mme,grain de sable ou le sorcier d altenbourg,False,0,0
1847,marie mme de plagniol sainte,les bonnes eleves,False,0,0
1847,george sand,le peche de m antoine,True,3,3
1847,george sand,simon,True,3,3
1847,jules sandeau,mademoiselle de la seigliere,False,0,0
1847,eugene sue,martin l enfant trouve,True,3,3
1847,eugene sue,martin l enfant trouve,True,3,3
1847,eugene sue,martin l enfant trouve,True,3,3
1847,eugene sue,martin l enfant trouve,True,3,3
1848,honore de balzac,les parents pauvres la cousine bette,True,3,3
1848,honore de balzac,les parents pauvres le cousin pons,True,3,3
1848,alexandre dumas,la dame aux camelias,True,5,5
1848,paul de musset,la chevre jaune,False,0,0
1848,george sand,françois le champi,True,3,3
1848,eugene sue,le morne au diable,True,3,3
1848,catherine woillez,edma et marguerite ou les ruines de chatillon d azergues,False,0,0
1849,henry berthoud,les filleules de rubens,False,0,0
1849,françois rene de chateaubriand,memoires d outre tombe,True,5,5
1849,françois rene de chateaubriand,memoires d outre tombe,True,5,5
1849,françois rene de chateaubriand,memoires d outre tombe,True,5,5
1849,françois rene de chateaubriand,memoires d outre tombe,True,5,5
1849,françois rene de chateaubriand,memoires d outre tombe,True,5,5
1849,alexandre dumas,le collier de la reine,True,3,3
1849,alexandre dumas,les mariages du pere olifus,True,3,3
1849,alexandre dumas,les mille et un fantomes,True,3,3
1849,george sand,la petite fadette,True,5,4
1849,eugene sue,les mysteres du peuple,True,3,3
1849,eugene sue,les mysteres du peuple,True,3,3
1850,anais de bassanville,le soir et le matin de la vie ou conseils aux jeunes filles,False,0,0
1850,alexandre dumas,dieu dispose,True,3,3
1850,alexandre dumas,dieu dispose,True,3,3
1850,alexandre dumas,la colombe,True,3,3
1850,alexandre dumas,la femme au collier de velours,True,3,3
1850,alexandre dumas,la tulipe noire,True,3,3
1850,alexandre dumas,le trou de l enfer,True,3,3
1850,alexandre dumas,le vicomte de bragelonne,True,5,5
1850,paul feval,la fee des greves,False,0,0
1850,paul feval,les belles de nuit ou les anges de la famille,False,0,0
1850,paul feval,les belles de nuit ou les anges de la famille,False,0,0
1850,inconnu,un roman sous l empire,False,0,0
1850,alphonse de lamartine,genevieve  histoire d une servante,True,3,3
1850,eugene sue,les mysteres du peuple,True,3,3
1851,henry ceard,belle journee,False,0,0
1851,alexandre dumas,ange pitou,True,3,3
1851,alexandre dumas,olympe de cleves,True,3,3
1851,alexandre dumas,olympe de cleves,True,3,3
1851,alexandre dumas,olympe de cleves,True,3,3
1851,edmond de goncourt jules de goncourt,en 18,True,3,3
1851,george sand,histoire du veritable gribouille,True,3,3
1851,george sand,le chateau des desertes,True,3,3
1851,emile souvestre,les derniers paysans,False,0,0
1851,emile souvestre,les derniers paysans,False,0,0
1851,emile souvestre,un philosophe sous les toits,False,0,0
1851,eugene sue,les mysteres du peuple,True,3,3
1852,zulma tourangin mme carraud,la petite jeanne,False,0,0
1852,alexandre dumas,conscience l innocent,True,3,3
1852,alexandre dumas,la comtesse de charny,True,3,3
1852,paul feval,la reine des epees,False,0,0
1852,alphonse de lamartine,graziella,True,3,3
1852,du terrail pierre ponson,la baronne trepassee,False,0,0
1852,du terrail pierre ponson,les cavaliers de la nuit,False,0,0
1852,emile souvestre,comtes,False,0,0
1852,emile souvestre,dans la prairie,False,0,0
1853,chamfleury,les souffrances du professeur delteil,False,0,0
1853,champfleury,les aventures de mademoiselle mariette,False,0,0
1853,de la giraudiere hippolyte de chavannes,les petits voyageurs en californie,False,0,0
1853,gustave desnoiresterres,un amour en diligence,False,0,0
1853,camp maxime du,memoires d'un suicide,False,0,0
1853,alexandre dumas,les drames de la mer,True,3,3
1853,leon gozlan,les vendanges,False,0,0
1853,alphonse karr,les femmes,False,0,0
1853,jules poulain,le dartmoor ou les deux soeurs scenes de la vie anglaise,False,0,0
1853,george sand,la fauvette du docteur,True,3,3
1853,george sand,les maitres sonneurs,True,3,3
1853,eugene sue,les mysteres du peuple,True,3,3
1853,pierre zaccone,eric le mendiant,False,0,0
1854,d aurevilly jules barbey,l ensorcelee,True,5,5
1854,charles barthelemy,histoire de la bretagne ancienne et moderne,False,0,0
1854,anais de bassanville,les primeurs de la vie ou bonheurs joies et douleurs de la jeunesse,False,0,0
1854,de plancy jacques collin,les tribulations de robillard,False,0,0
1854,alexandre dumas,catherine blum,True,3,3
1854,alexandre dumas,la jeunesse de pierrot,True,3,3
1854,alexandre dumas,le capitaine richard,True,3,3
1854,alexandre dumas,les mohicans de paris,True,3,3
1854,alexandre dumas,les mohicans de paris,True,3,3
1854,alexandre dumas,les mohicans de paris,True,3,3
1854,alexandre dumas,les mohicans de paris,True,3,3
1854,alexandre dumas,les mohicans de paris,True,3,3
1854,alexandre dumas,les mohicans de paris,True,3,3
1854,paul feval,les parvenus,False,0,0
1854,alphonse karr,histoire d un pion,False,0,0
1854,gerard de nerval,promenades et souvenirs,True,3,3
1855,honore de balzac,les paysans,True,5,5
1855,honore de balzac,les petits bourgeois,True,3,3
1855,charles barbara,l'assassinat du pont rouge,False,0,0
1855,eugene chapus,les soirees de chantilly,False,0,0
1855,alexandre dumas,la derniere annee de marie dorval,True,3,3
1855,alexandre dumas,le page du duc de savoie,True,3,3
1855,alexandre dumas,le page du duc de savoie,True,3,3
1855,alexandre dumas,le page du duc de savoie,True,3,3
1855,paul feval,oeuvres,False,0,0
1855,jules gerard,la chasse au lion,False,0,0
1855,gerard de nerval,aurelia,True,3,3
