auteur,nb_roman
nicolas mathieu,2
adolphe badin,2
fanny villars,2
gyp,2
rieder charlotte chabrier,2
anais de bassanville,2
jenny bastide,2
beuve sainte,2
louis guilloux,2
charles ferdinand ramuz,2
eugene dabit,2
nicolas bouvier,2
leon paul fargue,2
marcel schwob,2
prosper chazel,2
catulle mendes,2
hugues rebell,2
mario uchard,2
marcel ayme,2
maurice genevoix,2
marie de solms,2
delphine de girardin,2
rene crevel,2
alfred de musset,2
mathilde janin,1
marcel tissot,1
esprit privat,1
vavasseur gustave le,1
h de graffigny,1
lamothe langon etienne leon de,1
henri emile chevalier,1
d ambroyse valentine vattier,1
anatole de segur,1
marc dugain,1
charles barthelemy,1
roux alfred le,1
benjamin constant,1
blanchere henri de la,1
le rouge de brisay henri gustave,1
louis desnoyers,1
ogan claude saint,1
david lopez,1
alphonse de calonne,1
armand pommier,1
estoile pierre l,1
de gaspe philippe aubert,1
auguste de lacroix,1
constant gueroult,1
erik orsenna,1
mme e. thuret,1
charles louis philippe,1
de laforest jean louis dubut,1
jules lemaitre,1
marie anne de bovet,1
b. poitevin,1
agnes abecassis,1
lano pierre de,1
e de bellaud,1
de varennes edouard suau,1
antoine albalat,1
felix servan,1
henri ardel,1
charles maquet,1
castel horace de viel,1
albertine sarrazin,1
alfred sirven,1
robert halt,1
dimitri bortnikov,1
charles henri tardieu,1
edouard montagne,1
philippe grimbert,1
celine fallet,1
rounat charles de la,1
richomme fanny mme,1
dominique rolin,1
gustave richardet,1
emilie de vars,1
eugenie foa,1
j m. grosset,1
adolphine de jonge mme valter,1
montmeril gerald,1
marthe lachese,1
victor sauquet,1
emile desbeaux,1
françois nion,1
alfred de courcy,1
jenny lensia,1
arthur dourliac,1
angelo de sorr,1
charles nodier,1
faure georges le,1
tarbe des sablons mme,1
martin winckler,1
jean genet,1
d anglemont alexandre privat,1
albert savine,1
philippe sollers,1
georges sauton,1
des sablons michelle catherine josephine guespereau mme sebastien andre tarbe,1
tony revillon,1
paul ardenne,1
pierre decourcelle,1
jean lorrain,1
édouard cavailhon,1
ange pechmeja,1
henry ceard,1
eugene chapus,1
maurice blanchot,1
alexandre pillon,1
x b. saintine,1
louise leneveux,1
hubert larue,1
adophe belot,1
armand de solignac,1
leonce de larmandie,1
vanessa springora,1
georges montorgueil,1
jules gerard,1
ernest boissieres,1
lemoine,1
armand de melun,1
rene muller,1
felicien mallefille,1
jacques replat,1
jules paul tardivel,1
jean vautrin,1
gustave claudin,1
la rochelle pierre drieu,1
joseph alexis walsh,1
m. maryan,1
adolphe pradel georges racot,1
gustave desnoiresterres,1
gustave ambo,1
du jardinet jules gondry,1
de castres camille sabatier,1
j h aine rosny,1
jules romains,1
leon noble,1
joseph doutre,1
louis veuillot,1
comtesse de veilles,1
louis frechette,1
henri de noussanne,1
adolphe racot,1
monroy richard o,1
henri murger,1
edmond goncourt,1
kamel daoud,1
louise hameau,1
berthe vadier,1
e. quix,1
alexandre de lamothe,1
just jean etienne roy,1
christophe pradeau,1
paul margueritte,1
anduze henri vie,1
paul fournel,1
anatole henri philippe de segur,1
victor tissot,1
petrus borel,1
vidal mathilde de saint,1
jeanne cazin,1
jean richepin,1
florence strub,1
d hautpoul beaufort,1
jacques normand,1
