,doc_name,date,auteur,titre,canon_roman,canon_auteur,gender,bac,brevet,lm,sup,prix,gf,pleiade,gouv
41,1829_Custine-Astolphe-de_Aloys-ou-le-Religieux-du-mont-Saint-Bernard,1829,astolphe de custine,aloys ou le religieux du mont saint bernard,non_canon,False,male,0,0,0,0,0,0,0,0
42,1829_Giberton-Theodore_La-fille-du-vieux-chanteur,1829,theodore giberton,la fille du vieux chanteur,non_canon,False,male,0,0,0,0,0,0,0,0
43,1829_Hugo-Victor_Le-dernier-jour-d-un-condamne,1829,victor hugo,le dernier jour d un condamne,canon,True,male,0,0,1,0,0,0,1,0
44,1829_Merimee-Prosper_Mateo-Falcone,1829,prosper merimee,mateo falcone,non_canon,True,male,0,0,1,0,0,0,1,0
45,1829_Merimee-Prosper_Tamango,1829,prosper merimee,tamango,non_canon,True,male,0,0,1,0,0,0,1,0
46,1830_Merimee-Prosper_La-Partie-de-Trictrac,1830,prosper merimee,la partie de trictrac,non_canon,True,male,0,0,1,0,0,0,1,0
47,1830_Stendhal_Le-Rouge-et-le-noir,1830,stendhal,le rouge et le noir,canon,True,male,1,0,1,1,0,0,1,0
48,1830_Sue-Eugene_Kernok-le-Pirate,1830,eugene sue,kernok le pirate,non_canon,True,male,0,0,0,0,0,0,0,0
49,1831_Balzac-Honore-de_La-Peau-de-chagrin-ed-Gosselin,1831,honore de balzac,la peau de chagrin ed gosselin,non_canon,True,male,0,0,1,0,0,0,1,0
50,1831_Barbey-d-Aur_villy-Jules_Le-cachet-d-onyx,1831,d aur barbey,villy jules,non_canon,True,male,0,0,0,0,0,0,0,0
51,1831_Hugo-Victor_Notre-Dame-de-Paris__Tome-1),1831,victor hugo,notre dame de paris,canon,True,male,0,0,1,0,0,0,1,0
52,1831_Hugo-Victor_Notre-Dame-de-Paris__Tome-2),1831,victor hugo,notre dame de paris,canon,True,male,0,0,1,0,0,0,1,0
53,1831_Montovar-Mme-Ha-Dges_Aslega-ou-l-Infortune-secourue-par-Napoleon-fait-historique-de-l-Empire_Tome-1,1831,mme ha dges montovar,aslega ou l infortune secourue par napoleon fait historique de l empire,non_canon,False,female,0,0,0,0,0,0,0,0
54,1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-1,1831,alphonse macaire stanislas signol,le chiffonnier,non_canon,False,male,0,0,0,0,0,0,0,0
55,1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-2,1831,alphonse macaire stanislas signol,le chiffonnier,non_canon,False,male,0,0,0,0,0,0,0,0
56,1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-3,1831,alphonse macaire stanislas signol,le chiffonnier,non_canon,False,male,0,0,0,0,0,0,0,0
57,1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-4,1831,alphonse macaire stanislas signol,le chiffonnier,non_canon,False,male,0,0,0,0,0,0,0,0
58,1831_Signol-Alphonse-Macaire-Stanislas_Le-Chiffonnier_Tome-5,1831,alphonse macaire stanislas signol,le chiffonnier,non_canon,False,male,0,0,0,0,0,0,0,0
59,1831_Sue-Eugene_Atar-Gull,1831,eugene sue,atar gull,non_canon,True,male,0,0,0,0,0,0,0,0
